,Unnamed: 0,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
193,0,3187.0,12.03,136,150.0,5,10,84,560,28.5,90,137.0,7.534333416775685,7.101157849410274,265.42105263157896,266.5548992861415,285.3382899628253,Szymon+_ywko+_2019-08-08_12-41-30.CSV,2019-08-08,12-41-30,0
194,0,3767.000000000001,15.02,142,157.0,25,22,82,710,24.8,88,144.0,8.937685548365476,11.373487208084487,250.16129032258064,254.797720333162,279.75875486381324,Szymon+_ywko+_2020-04-24_12-50-55.CSV,2020-04-24,12-50-55,0
195,0,1961.0,8.03,139,148.0,5,20,83,356,16.5,87,141.0,6.798609639783154,7.290917751397104,245.3814058956916,245.9501690349913,262.359375,Szymon+_ywko+_2020-02-09_10-34-05.CSV,2020-02-09,10-34-05,0
196,0,3000.0,12.16,139,148.0,0,0,82,545,22.8,85,141.0,7.14270906230184,5.406963036894157,245.08064516129036,247.32306940013535,259.4,Szymon+_ywko+_2020-05-29_10-38-06.CSV,2020-05-29,10-38-06,0
197,0,1058.0,3.27,143,172.0,67,5,74,203,14.6,109,144.0,12.28687492544852,151.85158516474817,264.7428741439055,344.82956049764545,606.3324937027708,Szymon+_ywko+_2019-12-28_11-38-32.CSV,2019-12-28,11-38-32,-1
198,0,764.0,3.01,136,145.0,0,0,82,135,25.2,85,139.0,8.297780194169809,11.377517245876833,245.8207171314741,252.6593461543495,268.6920152091255,Szymon+_ywko+_2019-09-10_14-39-49.CSV,2019-09-10,14-39-49,0
199,0,2512.0,10.02,143,155.0,77,69,81,478,12.4,87,145.0,7.106040432447842,14.199520622873887,252.35010397320508,256.01350515017486,277.2629482071713,Szymon+_ywko+_2020-02-24_16-24-35.CSV,2020-02-24,16-24-35,0
200,0,533.0,1.29,122,136.0,5,5,81,71,20.8,85,128.0,12.13755601947282,28.790570175438603,288.57127192982455,288.57127192982455,317.3618421052632,Szymon+_ywko+_2019-12-04_12-10-43.CSV,2019-12-04,12-10-43,-1
201,0,2659.0,10.03,140,153.0,46,70,81,492,15.2,88,141.0,6.671887631909736,12.638620766828543,262.7394781696604,267.55549058145846,293.3768115942029,Szymon+_ywko+_2020-02-06_16-23-13.CSV,2020-02-06,16-23-13,0
202,0,2056.0,8.06,142,159.0,20,26,83,385,14.8,89,144.0,9.47713939485813,12.84521850571497,253.48920398622047,258.9190942531731,287.80694980694983,Szymon+_ywko+_2019-12-16_08-53-09.CSV,2019-12-16,08-53-09,0
203,0,1371.0,0.72,114,136.0,0,0,64,145,29.7,101,117.0,12.677466928506409,0.0,1171.512408759124,1171.512408759124,1171.512408759124,Szymon+_ywko+_2019-09-12_16-02-53.CSV,2019-09-12,16-02-53,-1
204,0,549.0,1.64,123,131.0,0,0,80,78,16.25,87,124.0,4.903381190346922,26.181926173610805,343.97773769193543,343.97773769193543,370.15966386554624,Szymon+_ywko+_2019-12-07_12-12-56.CSV,2019-12-07,12-12-56,-1
205,0,2678.0,6.95,151,177.0,0,0,72,557,15.9,96,154.0,14.465212995382023,140.41947113369991,475.7252396166134,455.9956030956806,680.825,Szymon+_ywko+_2020-04-14_14-03-33.CSV,2020-04-14,14-03-33,-1
206,0,2539.0,10.02,138,147.0,0,0,81,457,19.5,87,140.0,7.456809727057514,7.717201154370437,255.1068894483864,255.3924730463281,269.44444444444446,Szymon+_ywko+_2020-05-28_11-21-10.CSV,2020-05-28,11-21-10,0
207,0,3006.0,11.55,139,150.0,0,0,82,551,19.7,95,142.0,8.372809466432965,12.92888358444218,264.4578616352201,265.70531427754673,292.4591439688716,Szymon+_ywko+_2020-04-03_12-59-22.CSV,2020-04-03,12-59-22,0
208,0,5048.0,14.8,136,174.0,15,20,80,848,24.7,110,140.0,21.45336720349764,368.0127848588561,358.271186440678,440.4786561207276,1790.4261083743845,Szymon+_ywko+_2020-04-09_11-21-36.CSV,2020-04-09,11-21-36,-1
209,0,2633.0,10.02,138,148.0,10,31,83,472,13.7,88,142.0,9.477573092408443,19.866890664745164,265.1197808235022,271.2479841828382,316.1920529801325,Szymon+_ywko+_2020-02-14_11-04-43.CSV,2020-02-14,11-04-43,0
210,0,777.0,3.06,140,148.0,0,0,84,142,26.5,87,142.0,7.39626229722045,12.912667162353005,246.268,254.47858499647444,272.70992366412213,Szymon+_ywko+_2019-07-28_10-42-01.CSV,2019-07-28,10-42-01,0
211,0,1107.0,2.38,128,156.0,0,0,68,161,29.3,83,131.0,15.560789851288606,88.19862391329059,282.4021739130435,334.1576311102214,458.318244170096,Szymon+_ywko+_2019-09-01_10-42-18.CSV,2019-09-01,10-42-18,-1
212,0,2071.0,10.16,159,170.0,20,5,84,486,23.3,88,166.0,21.26321353345161,6.1679958775849455,205.11219512195123,206.45804307417592,223.96116504854368,Szymon+_ywko+_2020-06-01_17-24-01.CSV,2020-06-01,17-24-01,1
213,0,135.0,0.29,120,142.0,0,0,61,18,22.4,96,117.0,11.338520209601906,0.0,604.9626865671642,604.9626865671642,604.9626865671642,Szymon+_ywko+_2020-05-13_12-45-04.CSV,2020-05-13,12-45-04,-1
214,0,1527.0,6.15,150,159.0,30,25,89,331,20.8,96,151.0,4.8820868009373735,115.5713339104408,238.489539748954,295.4552950221119,575.0288461538462,Szymon+_ywko+_2020-06-15_17-57-02.CSV,2020-06-15,17-57-02,-1
215,0,5148.0,13.25,144,181.0,35,30,74,929,25.0,99,138.0,24.239156403313626,1072.956626228179,421.66061776061775,1025.4463944477072,3345.278481012658,Szymon+_ywko+_2020-05-23_11-12-51.CSV,2020-05-23,11-12-51,-1
216,0,3108.0,11.9,141,156.0,93,105,80,580,17.8,98,142.0,6.635005984691953,16.87858648330597,267.4380111524164,264.93270453030067,306.22968197879857,Szymon+_ywko+_2019-10-03_14-04-50.CSV,2019-10-03,14-04-50,0
217,0,5602.0,22.21,141,157.0,200,202,83,1048,15.4,90,142.0,6.957548879287656,14.1459769172222,249.936,252.69618867977772,296.7442748091603,Szymon+_ywko+_2020-01-12_10-37-27.CSV,2020-01-12,10-37-27,0
218,0,5174.0,6.02,116,149.0,55,60,64,423,25.7,111,110.0,14.893119858369936,5013.172370057881,2784.612352166964,4861.570752118437,14065.87018255578,Szymon+_ywko+_2020-02-24_17-34-14.CSV,2020-02-24,17-34-14,-1
219,0,2081.0,5.67,152,176.0,0,0,77,437,29.3,107,150.0,12.53837010348917,790.9405871566405,556.9969394454314,809.5015549009746,2553.059620596206,Szymon+_ywko+_2019-07-20_17-31-32.CSV,2019-07-20,17-31-32,-1
220,0,819.0,3.06,144,155.0,35,23,82,159,23.2,101,148.0,9.040138960304422,10.533397324151876,267.2156133828996,271.15002523747745,285.5598591549296,Szymon+_ywko+_2019-10-23_16-40-41.CSV,2019-10-23,16-40-41,0
221,0,1515.0,6.03,140,147.0,21,30,83,281,18.3,90,141.0,5.086057614437806,7.44582288557636,252.09290625,251.71833614385372,262.2911877394636,Szymon+_ywko+_2020-01-23_10-41-50.CSV,2020-01-23,10-41-50,0
222,0,2625.0,6.21,125,140.0,35,43,76,372,15.1,88,131.0,11.080811425843711,12896.971017043446,329.61919504643964,5770.325048526878,37347.04615384615,Szymon+_ywko+_2019-11-02_16-32-26.CSV,2019-11-02,16-32-26,-1
223,0,3724.000000000001,12.58,151,181.0,89,97,76,768,15.0,101,153.0,19.19292427542808,82.51583455323117,331.9592760180996,363.4826238175649,573.106628242075,Szymon+_ywko+_2019-12-18_17-44-19.CSV,2019-12-18,17-44-19,-1
224,0,1590.0,6.16,137,146.0,25,35,82,281,17.7,90,139.0,6.537208296043372,9.315585253233875,259.4153846153846,261.4201060348695,281.28464419475654,Szymon+_ywko+_2019-11-04_16-32-22.CSV,2019-11-04,16-32-22,0
