,Time,Distance,Avg HR,Max HR,Elev Gain,Elev Loss,Avg Run Cadence,Calories,Avg Temperature,Max Run Cadence,HR median,HR std,Pace std,Lap pace median,Avg Pace(s/km),Best Lap,File name,Date,Start time,Type
0,2256.0,9.22,138,146.0,16,20,83,407,11.5,92,140.0,5.740160753813353,15.654548726941568,249.6217997951869,248.35575120665058,272.7909836065574,Szymon+_ywko+_2020-01-03_14-21-12.CSV,2020-01-03,14-21-12,-1
0,771.0,3.01,141,154.0,33,21,82,146,26.4,96,142.5,7.232468026199632,15.90044520585905,267.015503875969,276.2492919636409,298.6225680933852,Szymon+_ywko+_2019-10-19_14-55-40.CSV,2019-10-19,14-55-40,-1
0,2222.0,10.13,154,164.0,20,32,84,480,13.3,88,157.0,8.453579334895363,15.304617151367676,220.6909090909091,221.23568412192984,249.66666666666666,Szymon+_ywko+_2020-02-09_17-26-26.CSV,2020-02-09,17-26-26,-1
0,1898.0000000000002,4.01,125,160.0,0,0,71,272,14.9,115,125.0,17.48517492109815,241.47091407581155,515.3571699681897,647.3516834341522,1065.1326923076922,Szymon+_ywko+_2020-01-13_17-38-48.CSV,2020-01-13,17-38-48,-1
0,1309.0,4.61,132,147.0,0,0,81,216,24.6,85,131.0,4.57212138626761,16.511617925191352,283.43356643356645,278.3575551733121,294.1510067114094,Szymon+_ywko+_2019-07-19_16-35-56.CSV,2019-07-19,16-35-56,-1
0,502.00000000000006,1.92,144,153.0,35,21,83,97,19.2,90,146.0,6.928881407025256,39.27405395822589,286.4660182439402,286.4660182439402,325.74007220216606,Szymon+_ywko+_2019-10-29_11-37-01.CSV,2019-10-29,11-37-01,-1
0,663.0,2.55,137,150.0,20,52,82,116,22.0,95,140.0,9.838182916631684,25.139850324995308,245.35714285714286,260.0547323888233,295.4392857142857,Szymon+_ywko+_2019-10-29_10-35-53.CSV,2019-10-29,10-35-53,-1
0,1013.0000000000001,0.96,111,135.0,13,11,69,92,32.2,90,107.0,14.87731132028407,0.0,396.14624505928856,396.14624505928856,396.14624505928856,Szymon+_ywko+_2019-07-24_18-16-07.CSV,2019-07-24,18-16-07,-1
0,817.0,3.0,140,151.0,10,6,81,150,23.4,84,142.0,7.769985822283658,11.4198641950575,267.2342007434944,272.9143758687018,288.84727272727275,Szymon+_ywko+_2020-05-23_10-38-11.CSV,2020-05-23,10-38-11,-1
0,3020.0,12.02,145,159.0,59,65,83,591,28.0,88,144.0,7.394723888623525,10.841665775337304,255.9387566618217,251.6331992889469,267.0968992248062,Szymon+_ywko+_2019-08-19_19-31-33.CSV,2019-08-19,19-31-33,-1
