score,event_id
0.0005007075,245
0.47086567,560
0.0005007075,468
0.0005007075,13
0.0005007075,280
0.0005007075,553
0.0005007075,518
0.0005007075,634
0.0005007075,146
0.0005007075,67
0.0005007075,140
0.5710949,593
0.0005007075,457
0.0005007075,633
0.0005007075,403
0.0005007075,242
0.0005007075,69
0.0005007075,369
0.0005007075,206
0.0005007075,309
0.0005007075,3
0.0005007075,16
0.0005007075,248
0.040762536,378
0.16244707,63
0.0005007075,148
0.0005007075,540
0.0005007075,216
0.0005007075,490
0.0005007075,475
0.0005007075,92
0.0005007075,494
0.0005007075,630
0.0005007075,357
0.0005007075,328
0.0005007075,231
0.0005007075,261
0.0005007075,327
0.0005007075,217
0.0005007075,52
0.0005007075,388
0.0005007075,176
0.0005007075,643
0.0005007075,83
0.0005007075,239
0.0005007075,58
0.0005007075,
0.0005007075,166
0.0005007075,469
0.0005007075,556
0.0005007075,412
0.0005007075,78
0.0005007075,6
0.0005007075,62
0.0005007075,391
0.19870308,463
0.0005007075,334
0.0005007075,308
0.0005007075,325
0.0005007075,281
0.14751893,453
0.0005007075,478
0.0005007075,319
0.0005007075,130
0.0005007075,229
0.0005007075,149
0.0005007075,323
0.5783041,595
0.0005007075,438
0.0005007075,185
0.0005007075,151
0.0005007075,496
0.0005007075,127
0.0012546992,547
0.0005007075,11
0.6805984,575
0.0005007075,236
0.0005007075,10
0.0005007075,346
0.0005007075,8
0.0005007075,228
0.0005007075,135
0.0005007075,191
0.0005007075,433
0.0005007075,394
0.0005007075,291
0.0005007075,202
0.0005007075,270
0.0005007075,255
0.0005007075,421
0.0005007075,230
0.0005007075,368
0.4652259,570
0.0005007075,317
0.0005007075,94
0.016957695,454
0.0005007075,364
0.0005007075,627
0.0005007075,335
0.0005007075,73
0.0005007075,488
0.0005007075,526
0.9856571,624
0.6127335,592
0.0005007075,273
0.0005007075,444
0.0005007075,449
0.0005007075,102
0.0005007075,150
0.0005007075,519
0.0005007075,241
0.54679275,569
0.0005007075,435
0.0005007075,473
0.0005007075,505
0.0005007075,74
0.0005007075,483
0.0005007075,418
0.0005007075,302
0.0005007075,359
0.5165925,585
0.0005007075,365
0.0005007075,389
0.0005007075,34
0.0005007075,300
0.0005007075,
0.0005007075,514
0.0005007075,247
0.0005007075,367
0.0005007075,422
0.0005007075,126
0.0005007075,262
0.0005007075,225
0.0005007075,181
0.0005007075,254
0.0005007075,81
0.0005007075,451
0.0005007075,371
0.0005007075,532
0.0005007075,377
0.0005007075,641
0.0005007075,260
0.0005007075,277
0.0005007075,387
0.0005007075,172
0.0005007075,376
0.743461,615
0.0005007075,413
0.10625171,163
0.0005007075,253
0.0005007075,372
0.0005007075,554
0.0005007075,337
0.2240013,125
0.0005007075,472
0.06977925,513
0.0005007075,324
0.0005007075,282
0.0005007075,200
0.0005007075,48
0.0005007075,118
0.0005007075,557
0.0005007075,9
0.78181034,608
0.0005007075,258
0.0005007075,322
0.73720205,485
0.5120748,565
0.0005007075,226
0.0005007075,637
0.6043069,583
0.0005007075,538
0.039311226,535
0.4986901,584
0.0005007075,503
0.76067275,587
0.0005007075,203
0.0015676138,20
0.0005007075,383
0.0005007075,189
0.0005007075,506
0.0005007075,330
0.93153346,607
0.0005007075,24
0.0005007075,306
0.0005007075,329
0.0005007075,636
0.0005007075,316
0.0005007075,264
0.0005007075,447
0.0005007075,288
0.0005007075,121
0.0005007075,142
0.0005007075,434
0.0005007075,436
0.0005007075,77
0.26024127,339
0.7041058,566
0.0005007075,111
0.0005007075,555
0.0005007075,470
0.0005007075,85
0.0005007075,417
0.0005007075,19
0.6719072,610
0.0005007075,53
0.0005007075,284
0.0005007075,204
0.0005007075,497
0.0005007075,210
0.016618386,466
0.0005007075,251
