"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:27.1","3:27.1","1.00","3:27","133","150","--","6","170","1.70","38","3:19","181","3:27","3:27"
"2","3:50.8","7:18.0","1.00","3:51","161","177","23","3","172","1.51","56","3:31","179","3:50","3:50"
"3","3:33.2","10:51","1.00","3:33","172","177","--","14","172","1.64","56","3:23","179","3:33","3:33"
"4","3:32.9","14:24","1.00","3:33","171","177","2","9","174","1.62","55","3:25","177","3:32.9","3:33"
"5","3:35.8","18:00","1.00","3:36","173","176","21","5","178","1.56","57","3:29","183","3:35.8","3:36"
"6","3:26.2","21:26","1.00","3:26","172","175","5","14","176","1.65","54","3:15","183","3:26","3:26"
"7","3:27.5","24:54","1.00","3:27","173","177","2","9","178","1.62","54","3:17","181","3:27","3:27"
"8","3:37.0","28:31","1.00","3:37","174","177","25","5","180","1.53","57","3:29","185","3:37.0","3:37"
"9","3:21.2","31:52","1.00","3:21","174","177","--","13","178","1.68","53","3:11","185","3:21","3:21"
"10","3:20.1","35:12","1.00","3:20","176","184","1","8","180","1.67","53","3:14","185","3:20.1","3:20"
"11","0:03.4","35:15","0.02","3:08","182","183","--","--","181","1.76","0","3:21","181","0:03","2:48"
"Podsumowanie","35:15","35:15","10.02","3:31","168","184","79","86","176","1.62","533","3:11","185","35:13","3:31"
