"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","5:16.7","5:16.7","1.00","5:17","138","161","--","--","158","1.20","61","4:39","162","5:16.7","5:17"
"2","5:42.0","10:59","1.00","5:42","160","172","5","--","158","1.11","83","5:16","163","5:42","5:42"
"3","5:21.9","16:21","1.00","5:22","166","175","2","--","159","1.17","81","5:15","163","5:21.9","5:22"
"4","5:32.1","21:53","1.00","5:32","170","176","--","--","160","1.13","85","5:18","163","5:32","5:32"
"5","5:27.0","27:20","1.00","5:27","177","188","--","--","159","1.16","87","5:12","163","5:27","5:27"
"6","5:09.9","32:30","1.00","5:10","175","184","5","1","160","1.21","82","4:52","165","5:09.9","5:10"
"7","5:13.7","37:43","1.00","5:14","175","181","--","--","160","1.20","82","5:02","164","5:13.7","5:14"
"8","4:55.4","42:39","1.00","4:55","172","176","--","3","160","1.27","75","4:44","163","4:55.4","4:55"
"9","5:03.7","47:42","1.00","5:04","132","171","--","8","160","1.23","20","4:41","163","5:03","5:03"
"10","1:58.0","49:40","0.40","4:57","128","132","5","--","160","1.26","5","4:46","162","1:58","4:57"
"Podsumowanie","49:40","49:40","9.40","5:17","162","188","17","13","159","1.19","661","4:39","165","49:40","5:17"
