"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:41.7","4:41.7","1.00","4:42","137","154","2","--","159","1.34","53","4:28","168","4:40","4:40"
"2","4:31.0","9:12.6","1.00","4:31","148","154","--","2","161","1.38","59","4:23","164","4:31.0","4:31"
"3","4:25.7","13:38","1.00","4:26","149","156","--","--","160","1.41","56","4:15","165","4:25.7","4:26"
"4","4:21.0","17:59","1.00","4:21","154","157","8","5","162","1.42","58","4:11","165","4:21.0","4:21"
"5","4:14.9","22:14","1.00","4:15","146","157","4","9","163","1.45","48","3:58","169","4:14","4:14"
"6","4:20.3","26:35","1.00","4:20","152","158","9","4","164","1.41","55","4:13","169","4:20","4:20"
"7","4:19.4","30:54","1.00","4:19","153","160","6","7","164","1.41","54","4:12","170","4:19.4","4:19"
"8","4:11.5","35:06","1.00","4:12","155","163","4","--","164","1.45","54","4:05","174","4:08","4:08"
"9","4:14.9","39:20","1.00","4:15","158","164","4","","165","1.43","57","4:03","169","4:14.9","4:15"
"10","4:15.2","43:36","1.00","4:15","157","165","--","3","163","1.44","55","3:58","169","4:15","4:15"
"11","4:10.9","47:47","1.00","4:11","160","168","--","3","164","1.46","56","4:00","169","4:10.9","4:11"
"12","4:08.4","51:55","1.00","4:08","162","169","--","2","166","1.45","56","3:57","170","4:08","4:08"
"13","3:38.7","55:34","0.88","4:08","161","170","6","--","166","1.46","48","3:49","174","3:38.7","4:08"
"Podsumowanie","55:34","55:34","12.88","4:19","153","170","41","36","163","1.42","709","3:49","174","55:27","4:18"
