"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","10:06","10:06","2.47","4:05","152","166","4","165","1.48","145","2:42","194","10:06","4:05"
"Podsumowanie","10:06","10:06","2.47","4:05","152","166","4","165","1.48","145","2:42","194","10:06","4:05"
