"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:26.9","4:26.9","1.00","4:27","143","155","--","2","159","1.42","59","4:07","166","4:26.9","4:27"
"2","4:22.2","8:49.1","1.00","4:22","154","164","--","--","161","1.42","64","4:18","165","4:22.2","4:22"
"3","4:34.8","13:24","1.00","4:35","152","161","7","10","160","1.36","65","4:11","168","4:34","4:34"
"4","4:28.8","17:53","1.00","4:29","158","163","5","8","160","1.39","67","4:14","165","4:28.8","4:29"
"5","4:34.1","22:27","1.00","4:34","158","164","11","--","160","1.36","67","4:27","163","4:34","4:34"
"6","4:20.5","26:47","1.00","4:21","156","160","--","2","161","1.43","62","4:08","163","4:20","4:20"
"7","4:24.4","31:12","1.00","4:24","160","166","10","--","163","1.39","66","4:05","168","4:24.4","4:24"
"8","4:24.0","35:36","1.00","4:24","159","163","12","--","162","1.40","64","4:19","165","4:24","4:24"
"9","4:13.8","39:50","1.00","4:14","154","161","--","13","160","1.48","55","4:09","165","4:13","4:13"
"10","4:18.9","44:08","1.00","4:19","153","157","--","6","162","1.43","54","4:16","165","4:18.9","4:19"
"11","4:20.8","48:29","1.00","4:21","155","159","2","--","163","1.41","57","4:17","168","4:20.8","4:21"
"12","4:18.8","52:48","1.00","4:19","155","159","--","--","163","1.42","56","4:16","167","4:18.8","4:19"
"13","4:23.5","57:11","1.00","4:24","156","164","7","--","163","1.40","57","4:05","168","4:23.5","4:23"
"14","4:21.8","1:01:33","1.00","4:22","160","167","8","--","163","1.41","61","3:57","168","4:21.8","4:22"
"15","4:15.9","1:05:49","1.00","4:16","156","161","--","6","163","1.44","53","4:00","167","4:15.9","4:16"
"16","4:18.4","1:10:07","1.00","4:18","158","163","11","--","163","1.43","56","3:50","167","4:18","4:18"
"17","4:16.3","1:14:24","1.00","4:16","157","161","--","5","164","1.43","53","3:57","168","4:16.3","4:16"
"18","4:16.3","1:18:40","1.00","4:16","159","163","7","1","164","1.43","55","4:13","168","4:16","4:16"
"19","4:12.1","1:22:52","1.00","4:12","154","161","--","3","163","1.46","44","4:02","168","4:11","4:11"
"20","4:11.1","1:27:03","1.00","4:11","157","161","3","2","164","1.46","51","4:08","168","4:11","4:11"
"21","4:11.5","1:31:15","1.00","4:12","156","161","6","8","163","1.47","46","4:06","167","4:11","4:11"
"22","4:12.1","1:35:27","1.00","4:12","156","165","--","13","163","1.46","43","4:04","167","4:12","4:12"
"23","4:11.0","1:39:38","1.00","4:11","159","162","15","--","164","1.45","51","4:04","167","4:11","4:11"
"24","4:04.7","1:43:43","1.00","4:05","155","159","--","20","163","1.51","37","4:00","165","4:04.7","4:05"
"25","4:11.9","1:47:54","1.00","4:12","157","161","--","3","163","1.46","44","4:06","165","4:11.9","4:12"
"26","4:15.0","1:52:09","1.00","4:15","161","164","1","--","165","1.43","53","4:09","168","4:15","4:15"
"27","4:12.8","1:56:22","1.00","4:13","161","164","--","--","165","1.44","51","4:06","168","4:12.8","4:13"
"28","4:03.0","2:00:25","1.00","4:03","160","165","--","13","163","1.51","45","3:55","168","4:03.0","4:03"
"29","4:12.7","2:04:38","1.00","4:13","161","165","7","--","165","1.44","50","4:02","168","4:12.7","4:13"
"30","4:04.5","2:08:43","1.00","4:05","161","163","3","--","165","1.49","48","3:59","173","4:03","4:03"
"31","0:02.3","2:08:45","0.01","3:26","162","162","--","--","165","1.77","0","3:59","165","0:02.3","3:26"
"Podsumowanie","2:08:45","2:08:45","30.01","4:17","157","167","115","115","163","1.43","1,634","3:50","173","2:08:39","4:17"
