"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:28.9","4:28.9","1.00","4:29","132","158","--","3","160","1.40","50","3:55","171","4:28","4:28"
"2","4:12.9","8:41.8","1.00","4:13","140","146","--","--","163","1.46","53","4:05","165","4:12.9","4:13"
"3","4:08.2","12:50","1.00","4:08","144","150","6","6","163","1.48","53","3:42","171","4:08","4:08"
"4","4:03.3","16:53","1.00","4:03","160","175","--","4","165","1.50","61","3:46","168","4:03","4:03"
"5","4:11.7","21:05","1.00","4:12","158","168","10","--","165","1.44","62","4:04","170","4:11.7","4:12"
"6","4:07.7","25:13","1.00","4:08","155","166","--","3","166","1.46","58","4:00","170","4:07","4:07"
"7","4:18.7","29:32","1.00","4:19","156","164","16","3","166","1.40","61","3:56","170","4:18","4:18"
"8","4:02.3","33:34","1.00","4:02","152","170","6","--","164","1.51","52","3:53","170","4:02.3","4:02"
"9","4:01.9","37:36","1.00","4:02","146","151","--","17","166","1.50","44","3:57","168","4:01.9","4:02"
"10","4:03.3","41:39","1.00","4:03","154","157","--","2","167","1.48","53","4:00","168","4:03","4:03"
"11","4:01.3","45:40","1.00","4:01","156","160","6","--","167","1.49","55","3:59","168","4:01","4:01"
"12","3:56.6","49:37","1.00","3:57","155","158","--","11","166","1.53","51","3:53","171","3:56.6","3:57"
"13","3:55.7","53:33","1.00","3:56","153","165","--","6","168","1.52","48","3:30","174","3:55","3:55"
"14","3:50.9","57:24","1.00","3:51","160","166","15","10","167","1.55","55","3:40","172","3:50.9","3:51"
"15","3:55.3","1:01:19","1.00","3:55","165","173","8","4","168","1.52","59","3:47","172","3:55","3:55"
"16","3:51.3","1:05:10","1.00","3:51","165","172","--","6","169","1.54","57","3:36","172","3:51","3:51"
"17","3:52.7","1:09:03","1.00","3:53","168","172","6","--","169","1.53","60","3:50","172","3:52.7","3:53"
"18","2:51.8","1:11:55","0.74","3:52","168","175","2","--","170","1.52","44","3:39","172","2:51.8","3:52"
"Podsumowanie","1:11:55","1:11:55","17.74","4:03","154","175","75","77","166","1.49","976","3:30","174","1:11:50","4:03"
