"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:22.7","4:22.7","1.00","4:23","139","148","--","161","1.42","55","4:05","165","4:22.7","4:23"
"2","4:09.5","8:32.2","1.00","4:10","147","152","13","163","1.47","57","4:00","168","4:08","4:08"
"3","1:13.0","9:45.2","0.28","4:18","147","152","--","162","1.43","16","4:05","167","1:13.0","4:18"
"Podsumowanie","9:45.2","9:45.2","2.28","4:16","143","152","13","162","1.44","128","4:00","168","9:43.7","4:16"
