"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:40.1","4:40.1","1.00","4:40","117","131","--","3","158","1.35","41","4:17","162","4:40.1","4:40"
"2","4:16.1","8:56.2","1.00","4:16","125","127","--","--","162","1.45","41","4:09","166","4:16","4:16"
"3","4:10.4","13:07","1.00","4:10","127","131","6","6","163","1.47","40","3:58","167","4:10","4:10"
"4","4:06.9","17:14","1.00","4:07","125","128","--","4","163","1.49","36","3:58","165","4:06.9","4:07"
"5","4:09.8","21:23","1.00","4:10","129","133","8","--","164","1.46","39","3:59","167","4:09.8","4:10"
"6","4:29.9","25:53","1.00","4:30","140","162","24","--","163","1.36","50","3:57","167","4:28","4:28"
"7","4:08.6","30:02","1.00","4:09","160","167","--","10","163","1.48","62","4:04","167","4:08.6","4:09"
"8","4:00.5","34:02","1.00","4:01","163","171","--","8","164","1.52","60","3:57","168","4:00","4:00"
"9","4:05.4","38:08","1.00","4:05","165","169","1","--","165","1.48","62","4:00","169","4:05","4:05"
"10","4:07.9","42:16","1.00","4:08","164","166","--","--","165","1.47","62","4:02","169","4:07.9","4:08"
"11","4:04.2","46:20","1.00","4:04","164","167","--","4","164","1.50","61","4:02","167","4:04","4:04"
"12","4:08.6","50:29","1.00","4:09","163","166","--","4","164","1.47","61","4:06","166","4:08.6","4:09"
"13","4:11.5","54:40","1.00","4:11","161","167","1","2","163","1.46","58","4:00","171","4:11.5","4:11"
"14","4:17.2","58:57","1.00","4:17","160","163","--","--","164","1.43","58","3:59","167","4:17","4:17"
"15","4:01.1","1:02:58","1.00","4:01","160","164","3","7","164","1.52","55","3:53","167","4:01","4:01"
"16","4:08.6","1:07:07","1.00","4:09","161","163","1","--","164","1.47","57","3:58","167","4:08.6","4:09"
"17","4:06.8","1:11:14","1.00","4:07","161","164","9","--","163","1.49","56","4:03","166","4:06.8","4:07"
"18","4:08.6","1:15:22","1.00","4:09","161","164","--","4","164","1.47","56","4:02","169","4:08","4:08"
"19","4:04.1","1:19:26","1.00","4:04","161","165","--","1","164","1.50","55","3:59","167","4:04","4:04"
"20","4:07.5","1:23:34","1.00","4:07","161","166","8","--","165","1.47","55","4:01","169","4:07.5","4:07"
"21","4:17.6","1:27:52","1.00","4:18","156","167","17","--","165","1.41","47","4:04","170","4:17","4:17"
"22","3:57.1","1:31:49","1.00","3:57","157","159","--","26","163","1.55","42","3:33","172","3:57","3:57"
"23","4:05.2","1:35:54","1.00","4:05","158","162","--","6","165","1.49","43","3:48","170","4:05","4:05"
"24","4:02.9","1:39:57","1.00","4:03","159","163","3","--","167","1.48","46","3:42","174","4:02","4:02"
"25","1:09.2","1:41:06","0.29","3:55","160","165","4","--","165","1.55","13","3:47","170","1:09","3:54"
"Podsumowanie","1:41:06","1:41:06","24.29","4:10","152","171","85","85","164","1.47","1,256","3:33","174","1:40:59","4:09"
