"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:36.0","4:36.0","1.00","4:36","129","138","159","1.37","50","4:23","165","4:36","4:36"
"2","4:24.1","9:00.1","1.00","4:24","137","147","162","1.41","54","4:17","165","4:24","4:24"
"3","4:20.3","13:20","1.00","4:20","150","165","164","1.41","60","4:15","168","4:20.3","4:20"
"4","4:25.6","17:46","1.00","4:26","146","156","163","1.39","58","4:15","168","4:24","4:24"
"5","4:14.5","22:01","1.00","4:15","155","166","165","1.43","60","4:04","170","4:14","4:14"
"6","4:16.3","26:17","1.00","4:16","162","167","163","1.44","66","4:09","168","4:16.3","4:16"
"7","4:08.3","30:25","1.00","4:08","159","169","165","1.47","61","3:39","172","4:08","4:08"
"8","2:00.5","32:26","0.51","3:56","155","159","163","1.56","28","3:50","168","2:00.5","3:56"
"Podsumowanie","32:26","32:26","7.51","4:19","148","169","163","1.42","437","3:39","172","32:23","4:19"
