"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","1:18.7","1:18.7","0.25","5:10","142","148","--","12","150","1.29","14","4:46","156","1:18.7","5:10"
"2","0:49.7","2:08.4","0.25","3:18","141","142","11","--","183","1.66","9","3:04","191","0:49","3:15"
"3","1:38.4","3:46.8","0.28","5:52","136","151","--","11","154","1.11","18","3:17","186","1:38.4","5:52"
"4","0:50.1","4:36.9","0.25","3:20","143","148","--","--","187","1.60","10","3:00","191","0:50","3:20"
"5","1:43.3","6:20.3","0.28","6:13","143","149","12","12","154","1.05","20","3:23","181","1:43","6:12"
"6","0:48.8","7:09.0","0.25","3:12","144","148","--","--","184","1.70","9","3:05","191","0:48.8","3:12"
"7","1:36.6","8:45.6","0.29","5:31","145","148","12","13","153","1.19","19","3:13","189","1:36","5:29"
"8","0:45.5","9:31.0","0.26","2:55","145","147","12","--","187","1.83","9","2:47","201","0:45.5","2:55"
"9","2:31.8","12:03","0.17","15:12","138","146","--","--","115","0.57","26","2:56","193","2:18","13:49"
"10","0:02.5","12:05","0.00","14:44","120","120","--","8","106","0.64","0","13:20","106","0:02","11:59"
"Podsumowanie","12:05","12:05","2.29","5:17","141","151","47","55","156","1.17","134","2:47","201","11:49","5:10"
