"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","6:48.8","6:48.8","2.08","3:17","132","140","3","5","172","1.78","77","3:11","178","6:48.8","3:17"
"2","3:27.9","10:17","0.14","23:59","119","135","2","--","109","0.38","28","3:15","171","1:46","12:13"
"3","6:41.3","16:58","2.07","3:14","127","134","2","3","176","1.76","63","3:00","187","6:41","3:14"
"4","4:06.0","21:04","0.16","25:04","122","131","--","--","115","0.35","33","3:09","179","2:29","15:11"
"5","6:32.9","27:37","2.07","3:10","129","134","1","3","178","1.77","60","2:48","187","6:32.9","3:10"
"6","4:09.4","31:46","0.22","19:03","127","139","3","--","117","0.45","34","3:09","183","3:41","16:52"
"7","6:26.4","38:13","2.06","3:08","129","138","3","2","180","1.78","53","3:01","185","6:26.4","3:08"
"8","5:05.8","43:19","0.18","28:41","104","129","--","1","116","0.30","20","3:08","181","4:26","24:57"
"9","6:16.6","49:35","2.06","3:03","127","140","2","6","182","1.79","50","2:57","185","6:16","3:03"
"10","5:23.8","54:59","0.22","24:26","119","133","2","2","112","0.37","35","3:03","183","4:16","19:19"
"11","3:01.1","58:00","1.03","2:56","123","141","3","2","184","1.85","20","2:51","189","3:01","2:56"
"12","5:25.4","1:03:25","0.22","24:16","122","141","--","--","112","0.37","37","2:50","187","3:20","14:55"
"13","2:57.7","1:06:23","1.04","2:51","120","131","2","3","184","1.90","18","2:45","191","2:57","2:51"
"14","1:48.1","1:08:11","0.06","31:34","125","129","--","--","133","0.24","12","2:45","188","0:48","14:01"
"Podsumowanie","1:08:11","1:08:11","13.61","5:01","124","141","24","27","164","1.17","540","2:45","191","59:29","4:22"
