"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:38.3","4:38.3","1.00","4:38","120","128","--","12","160","1.35","40","4:25","165","4:38","4:38"
"2","4:22.3","9:00.6","1.00","4:22","131","136","9","12","163","1.40","45","4:09","168","4:22.3","4:22"
"3","4:21.8","13:22","1.00","4:22","143","150","23","8","165","1.39","53","4:08","169","4:21.8","4:22"
"4","4:18.4","17:41","1.00","4:18","145","157","--","21","163","1.43","53","4:12","167","4:18","4:18"
"5","4:20.9","22:02","1.00","4:21","141","158","21","9","163","1.41","48","4:15","167","4:20.9","4:21"
"6","4:15.1","26:17","0.98","4:21","148","166","9","--","164","1.40","52","4:15","168","4:15","4:21"
"Podsumowanie","26:17","26:17","5.98","4:24","138","166","61","62","163","1.40","291","4:08","169","26:16","4:24"
