"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:26.2","4:26.2","1.00","4:26","137","162","--","--","158","1.43","52","3:51","162","4:26","4:26"
"2","4:12.2","8:38.4","1.00","4:12","158","164","--","--","159","1.49","63","4:10","163","4:12","4:12"
"3","4:19.3","12:58","1.00","4:19","161","170","--","--","160","1.45","65","4:03","163","4:19","4:19"
"4","4:08.5","17:06","1.00","4:09","158","164","6","4","160","1.51","60","3:53","161","4:08.5","4:09"
"5","4:08.9","21:15","1.00","4:09","163","176","5","--","160","1.51","62","4:04","163","4:08.9","4:09"
"6","3:48.8","25:04","1.00","3:49","163","174","5","3","167","1.57","56","3:01","178","3:48.8","3:49"
"7","3:41.6","28:46","1.00","3:42","168","173","6","--","170","1.60","57","3:08","185","3:41","3:41"
"8","3:36.4","32:22","1.00","3:36","169","173","3","2","170","1.63","56","2:59","183","3:36","3:36"
"9","3:45.1","36:07","1.00","3:45","169","174","--","10","169","1.57","58","2:58","185","3:45","3:45"
"10","3:39.5","39:47","1.00","3:39","168","173","--","--","171","1.60","56","2:57","183","3:39","3:39"
"11","3:39.3","43:26","1.00","3:39","169","174","--","4","170","1.61","56","3:00","183","3:39.3","3:39"
"12","3:41.3","47:07","1.00","3:41","159","173","--","--","167","1.62","47","2:50","187","3:41.3","3:41"
"13","4:21.5","51:29","1.00","4:22","154","165","--","3","161","1.43","51","4:10","165","4:21","4:21"
"14","4:08.4","55:37","1.00","4:08","165","181","--","--","164","1.47","59","4:00","167","4:08","4:08"
"15","0:35.0","56:12","0.14","4:04","165","166","--","--","165","1.49","8","4:02","167","0:35","4:04"
"Podsumowanie","56:12","56:12","14.14","3:58","161","181","25","25","164","1.53","806","2:50","187","56:09","3:58"
