"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:39.9","4:39.9","1.00","4:40","132","155","2","--","156","1.38","52","4:07","162","4:38","4:38"
"2","4:26.0","9:05.9","1.00","4:26","150","164","4","--","158","1.43","63","3:56","174","4:26.0","4:26"
"3","4:29.3","13:35","1.00","4:29","148","153","8","--","157","1.42","60","4:13","162","4:29","4:29"
"4","4:30.1","18:05","1.00","4:30","153","168","12","4","158","1.41","63","4:15","160","4:30","4:30"
"5","4:27.5","22:33","1.00","4:28","148","162","3","--","158","1.42","58","4:24","160","4:27.5","4:27"
"6","4:47.4","27:20","1.00","4:47","144","158","--","--","156","1.34","55","4:25","160","4:47.4","4:47"
"7","4:29.2","31:49","1.00","4:29","141","153","--","14","157","1.42","45","4:19","163","4:29","4:29"
"8","4:26.9","36:16","1.00","4:27","146","152","4","5","156","1.44","52","4:05","164","4:26","4:26"
"9","4:25.9","40:42","1.00","4:26","143","151","--","3","158","1.43","45","4:12","161","4:25.9","4:26"
"10","4:21.4","45:04","1.00","4:21","142","145","--","5","159","1.44","43","4:05","174","4:21.4","4:21"
"11","0:40.7","45:44","0.16","4:10","142","143","--","--","160","1.50","6","4:11","160","0:40","4:06"
"Podsumowanie","45:44","45:44","10.16","4:30","145","168","32","31","157","1.41","542","3:56","174","45:40","4:30"
