"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:31.5","0:31.5","0.20","2:40","109","131","--","--","190","1.97","3","2:41","194","0:31","2:38"
"2","0:56.4","1:27.9","0.05","18:23","141","147","--","3","143","0.38","11","2:41","189","0:31","10:06"
"3","0:30.8","1:58.7","0.20","2:38","135","140","--","--","177","2.15","6","2:32","192","0:30.8","2:38"
"4","1:02.8","3:01.5","0.07","14:12","135","143","3","--","139","0.51","12","2:33","188","1:02.8","14:12"
"5","0:31.3","3:32.8","0.20","2:40","137","140","--","--","190","1.97","6","2:38","194","0:31","2:39"
"6","0:55.4","4:28.2","0.06","14:38","139","140","--","--","123","0.55","11","2:37","188","0:55.4","14:38"
"7","0:30.6","4:58.8","0.19","2:39","139","141","--","--","191","1.97","6","2:39","195","0:30","2:36"
"8","0:56.5","5:55.3","0.06","15:45","142","147","--","--","142","0.45","11","2:39","188","0:40","11:09"
"9","0:29.6","6:25.0","0.19","2:36","143","149","--","3","195","1.97","6","2:31","197","0:29","2:33"
"10","0:57.9","7:22.9","0.06","15:57","143","145","--","--","157","0.40","12","2:31","192","0:25","6:53"
"11","0:28.8","7:51.8","0.19","2:32","142","144","--","--","189","2.09","6","2:23","201","0:28.8","2:32"
"12","0:11.1","8:02.8","0.04","5:06","146","147","--","--","199","0.99","2","2:22","199","0:11","5:04"
"Podsumowanie","8:02.8","8:02.8","1.50","5:21","138","149","3","6","165","1.06","92","2:22","201","6:45.8","4:30"
