"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:40.9","4:40.9","1.00","4:41","125","136","2","--","161","1.32","45","4:08","166","4:39","4:39"
"2","4:40.9","9:21.7","1.00","4:41","136","150","14","--","162","1.32","53","4:30","165","4:40.9","4:41"
"3","4:45.7","14:07","1.00","4:46","140","144","14","4","164","1.28","55","4:23","167","4:45.7","4:46"
"4","4:28.4","18:36","1.00","4:28","135","147","3","21","161","1.39","45","4:18","167","4:28","4:28"
"5","4:28.8","23:05","1.00","4:29","140","145","5","--","163","1.37","49","4:19","165","4:28.8","4:29"
"6","0:56.0","24:01","0.25","3:41","135","146","8","--","174","1.56","8","3:16","178","0:53","3:29"
"7","3:48.4","27:49","1.00","3:48","148","157","6","11","168","1.57","47","3:13","182","3:48","3:48"
"8","3:54.7","31:44","1.00","3:55","152","161","8","10","167","1.53","51","3:14","180","3:54.7","3:55"
"9","4:02.8","35:46","1.00","4:03","161","169","11","3","170","1.46","58","3:16","183","4:02.8","4:03"
"10","3:53.1","39:40","1.00","3:53","160","167","4","21","167","1.54","54","3:23","186","3:52","3:52"
"11","3:57.6","43:37","1.00","3:58","165","170","8","--","171","1.48","58","3:20","185","3:57.6","3:58"
"12","4:05.1","47:42","1.00","4:05","166","171","13","--","171","1.43","60","3:22","186","4:04","4:04"
"13","3:53.6","51:36","1.00","3:54","162","170","10","23","168","1.52","55","3:22","186","3:53.6","3:54"
"14","4:17.0","55:53","1.00","4:17","149","173","--","9","165","1.42","41","3:18","186","4:17","4:17"
"15","4:17.5","1:00:10","1.00","4:17","151","157","--","4","164","1.42","46","4:12","168","4:17.5","4:17"
"16","0:37.3","1:00:48","0.14","4:32","152","155","--","--","161","1.37","6","4:12","165","0:37","4:30"
"Podsumowanie","1:00:48","1:00:48","14.39","4:13","148","173","108","106","166","1.43","731","3:13","186","1:00:39","4:13"
