"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:21.3","4:21.3","1.00","4:21","142","165","--","13","157","1.46","51","4:09","162","4:21","4:21"
"2","4:34.3","8:55.6","1.00","4:34","158","172","5","14","159","1.37","64","4:19","162","4:34","4:34"
"3","4:40.3","13:36","1.00","4:40","159","164","24","--","160","1.34","65","4:35","161","4:40.3","4:40"
"4","4:31.9","18:08","1.00","4:32","158","162","--","26","157","1.41","62","4:22","163","4:31.9","4:32"
"5","4:28.0","22:36","1.00","4:28","155","159","--","28","156","1.43","58","4:16","161","4:28.0","4:28"
"6","4:32.4","27:08","1.00","4:32","154","159","--","23","156","1.41","57","4:18","161","4:32.4","4:32"
"7","4:35.7","31:44","1.00","4:36","156","163","7","--","160","1.36","59","4:23","165","4:35","4:35"
"8","4:30.6","36:14","1.00","4:31","153","162","7","3","159","1.39","53","4:14","165","4:29","4:29"
"9","4:24.1","40:38","1.00","4:24","156","164","--","11","160","1.42","55","4:20","163","4:24","4:24"
"10","4:33.6","45:12","1.00","4:34","161","168","10","--","164","1.34","61","4:17","172","4:33","4:33"
"11","4:52.5","50:05","1.00","4:52","163","167","28","--","164","1.25","67","4:26","168","4:52.5","4:52"
"12","4:38.9","54:43","1.00","4:39","162","167","32","--","162","1.33","61","4:29","167","4:38.9","4:39"
"13","4:44.9","59:28","1.00","4:45","147","161","4","21","159","1.32","35","4:36","163","4:44.9","4:45"
"14","4:31.2","1:04:00","1.00","4:31","154","177","21","10","161","1.38","47","4:21","165","4:31","4:31"
"15","4:22.0","1:08:22","1.00","4:22","161","166","10","--","162","1.42","56","4:08","165","4:22","4:22"
"16","0:01.8","1:08:23","0.01","3:41","159","159","--","--","160","1.70","0","4:26","160","0:01.8","3:41"
"Podsumowanie","1:08:23","1:08:23","15.01","4:33","156","177","147","148","160","1.37","851","4:08","172","1:08:20","4:33"
