"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:20.9","4:20.9","1.00","4:21","139","156","--","4","160","1.44","55","4:04","169","4:20.9","4:21"
"2","4:12.4","8:33.3","1.00","4:12","150","155","--","--","162","1.47","60","4:03","167","4:12","4:12"
"3","3:58.4","12:32","1.00","3:58","156","170","7","6","164","1.53","59","3:41","168","3:58","3:58"
"4","4:00.7","16:32","1.00","4:01","160","176","23","21","164","1.52","61","3:18","184","4:00","4:00"
"5","4:01.8","20:34","1.00","4:02","164","170","20","12","165","1.50","64","3:21","184","4:01.8","4:02"
"6","4:02.0","24:36","1.00","4:02","163","172","18","29","167","1.49","63","3:24","184","4:02.0","4:02"
"7","4:02.7","28:39","1.00","4:03","167","172","15","--","166","1.49","64","3:14","182","4:02.7","4:03"
"8","4:05.1","32:44","1.00","4:05","164","172","28","19","167","1.47","62","3:34","184","4:05","4:05"
"9","3:58.2","36:42","1.00","3:58","156","171","10","25","165","1.53","54","3:17","186","3:58.2","3:58"
"10","3:45.9","40:28","1.00","3:46","155","171","17","19","170","1.56","46","2:32","197","3:45","3:45"
"11","4:18.9","44:47","1.00","4:19","152","173","--","10","163","1.43","50","4:02","167","4:18","4:18"
"12","4:19.7","49:07","1.00","4:20","157","160","3","--","164","1.41","58","4:16","170","4:19","4:19"
"13","4:00.4","53:07","0.94","4:17","156","160","1","--","165","1.42","52","3:58","170","4:00.4","4:17"
"Podsumowanie","53:07","53:07","12.94","4:06","157","176","143","146","165","1.48","748","2:32","197","53:03","4:06"
