"Okrążenia","Czas","Łączny czas","Dystans","Średnia prędkość","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Kalorie","Maksymalna prędkość","Czas ruchu","Średnia prędkość ruchu"
"1","6:31:42","6:31:42","26.52","4.1","105","177","1,448","1,430","2,062","9.9","5:46:25","4.6"
"Podsumowanie","6:31:42","6:31:42","26.52","4.1","105","177","1,448","1,430","2,062","9.9","5:46:25","4.6"
