"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:26.1","4:26.1","1.00","4:26","136","160","--","3","163","1.38","52","3:48","169","4:24","4:24"
"2","4:16.3","8:42.4","1.00","4:16","130","141","--","4","165","1.42","44","4:04","171","4:13","4:13"
"3","4:09.4","12:52","1.00","4:09","132","136","6","3","166","1.45","43","4:04","170","4:09","4:09"
"4","4:18.0","17:10","1.00","4:18","144","158","25","9","166","1.40","53","4:01","172","4:18","4:18"
"5","4:10.9","21:21","1.00","4:11","165","173","--","--","166","1.44","64","3:59","173","4:10.9","4:11"
"6","4:00.7","25:21","1.00","4:01","165","169","1","8","165","1.51","62","3:46","170","4:00.7","4:01"
"7","4:07.2","29:29","1.00","4:07","165","172","--","7","164","1.48","63","3:59","168","4:07","4:07"
"8","3:59.5","33:28","1.00","3:59","158","167","6","--","166","1.51","57","3:53","170","3:56","3:56"
"9","3:58.4","37:26","1.00","3:58","149","158","--","11","165","1.52","46","3:56","167","3:58.4","3:58"
"10","4:00.0","41:26","1.00","4:00","149","153","--","8","166","1.51","44","3:51","168","4:00.0","4:00"
"11","4:06.6","45:33","1.00","4:07","148","177","10","--","167","1.46","43","3:51","178","4:06","4:06"
"12","4:02.0","49:35","1.00","4:02","153","169","--","--","167","1.49","48","3:58","170","4:02","4:02"
"13","4:03.3","53:38","1.00","4:03","148","156","--","--","165","1.50","42","4:00","170","4:03","4:03"
"14","2:39.0","56:17","0.66","4:02","150","156","4","--","163","1.52","29","3:53","169","2:39","4:02"
"Podsumowanie","56:17","56:17","13.66","4:07","149","177","52","53","165","1.47","690","3:46","178","56:07","4:07"
