"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","5:14.8","5:14.8","1.00","5:15","147","171","1","158","1.21","66","4:39","170","5:14.8","5:15"
"2","4:45.7","10:01","1.00","4:46","161","166","20","161","1.30","69","4:41","165","4:45.7","4:46"
"3","4:42.7","14:43","1.00","4:43","163","168","40","163","1.30","68","4:27","168","4:42","4:42"
"4","0:03.5","14:47","0.01","4:22","160","160","--","161","1.42","0","4:50","161","0:03.5","4:22"
"Podsumowanie","14:47","14:47","3.01","4:54","156","171","61","161","1.27","203","4:27","170","14:46","4:54"
