"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:32.7","3:32.7","1.00","3:33","151","160","10","13","171","1.65","45","3:12","188","3:31","3:31"
"2","4:06.8","7:39.5","1.00","4:07","161","184","17","11","168","1.45","57","3:30","185","4:06.8","4:07"
"3","4:08.0","11:47","1.00","4:08","166","171","2","7","164","1.48","59","3:24","185","4:07","4:07"
"4","3:37.9","15:25","1.00","3:38","171","181","17","11","173","1.59","52","3:32","185","3:37.9","3:38"
"5","4:24.6","19:50","1.00","4:25","171","176","17","5","159","1.42","63","3:17","187","4:24","4:24"
"6","4:54.6","24:45","1.00","4:55","166","177","--","14","164","1.25","68","3:32","189","4:30","4:30"
"7","3:53.4","28:38","1.00","3:53","169","176","8","9","171","1.50","55","3:27","187","3:53","3:53"
"8","3:40.0","32:18","1.00","3:40","170","176","19","13","172","1.58","52","3:48","186","3:40","3:40"
"9","3:12.5","35:30","0.42","7:39","149","173","--","8","143","0.92","32","3:33","181","2:58","7:05"
"Podsumowanie","35:30","35:30","8.42","4:13","164","184","88","91","166","1.43","483","3:12","189","34:48","4:08"
