"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:32.5","3:32.5","1.02","3:28","150","168","--","--","170","1.70","48","3:13","182","3:32.5","3:28"
"2","3:35.5","7:08.1","1.04","3:27","162","165","--","--","169","1.72","55","3:25","172","3:35.5","3:27"
"3","3:30.4","10:39","1.04","3:23","168","174","--","--","170","1.74","55","3:21","172","3:30.4","3:23"
"4","3:32.9","14:11","1.04","3:24","165","169","--","--","169","1.74","54","3:18","172","3:32.9","3:24"
"5","3:28.7","17:40","1.04","3:20","166","171","--","1","171","1.76","53","3:15","174","3:28","3:19"
"6","3:30.2","21:10","1.05","3:20","167","170","1","--","170","1.77","54","3:16","172","3:30.2","3:20"
"7","3:26.4","24:37","1.05","3:16","168","170","--","1","171","1.79","53","3:11","174","3:26","3:16"
"8","3:24","28:01","1.04","3:16","171","174","--","--","173","1.77","53","3:13","176","3:24","3:16"
"9","3:20.9","31:22","1.04","3:12","174","176","--","--","174","1.79","53","3:02","178","3:20.9","3:12"
"10","3:09.0","34:31","1.06","2:58","176","179","--","--","179","1.88","51","2:51","186","3:09.0","2:58"
"Podsumowanie","34:31","34:31","10.44","3:18","166","179","1","2","172","1.76","529","2:51","186","34:30","3:18"
