"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:38.8","4:38.8","1.00","4:39","136","156","--","--","158","1.36","50","4:08","167","4:38","4:38"
"2","4:16.5","8:55.3","1.00","4:17","142","147","--","6","159","1.47","49","4:12","164","4:16.5","4:17"
"3","4:19.1","13:14","1.00","4:19","142","149","--","--","160","1.45","49","4:10","162","4:19","4:19"
"4","4:23.1","17:38","1.00","4:23","145","153","10","--","160","1.42","51","4:16","164","4:23.1","4:23"
"5","4:23.6","22:01","1.00","4:24","148","171","24","3","162","1.41","50","4:19","167","4:23","4:23"
"6","4:29.0","26:30","1.00","4:29","163","168","2","7","161","1.39","63","4:15","165","4:29","4:29"
"7","4:11.9","30:42","1.00","4:12","155","166","2","15","162","1.47","52","3:50","167","4:11","4:11"
"8","4:20.9","35:03","1.00","4:21","166","171","18","3","162","1.42","61","4:10","167","4:20","4:20"
"9","4:17.4","39:20","1.00","4:17","166","171","4","4","163","1.43","60","4:08","168","4:17.4","4:17"
"10","4:14.5","43:35","1.00","4:15","166","173","4","4","163","1.45","59","4:08","167","4:14.5","4:15"
"11","4:11.3","47:46","1.00","4:11","165","173","--","4","162","1.48","57","3:58","169","4:10","4:10"
"12","4:07.3","51:54","1.00","4:07","169","173","5","3","163","1.49","58","3:57","165","4:07","4:07"
"13","4:11.5","56:05","1.00","4:11","170","174","4","12","163","1.47","60","4:02","165","4:11.5","4:11"
"14","4:10.8","1:00:16","1.00","4:11","172","176","17","6","165","1.45","60","3:48","169","4:10.8","4:11"
"15","4:07.3","1:04:23","1.00","4:07","173","178","--","5","164","1.48","59","3:55","168","4:07","4:07"
"16","4:06.0","1:08:29","1.00","4:06","170","177","9","21","164","1.48","58","3:55","168","4:06","4:06"
"17","4:10.0","1:12:39","1.00","4:10","169","174","--","10","164","1.46","58","4:02","167","4:10.0","4:10"
"18","4:09.3","1:16:48","1.00","4:09","173","179","--","4","166","1.45","60","4:05","169","4:09.3","4:09"
"19","4:13.5","1:21:02","1.00","4:13","175","177","7","--","167","1.42","61","4:11","170","4:13","4:13"
"20","4:02.5","1:25:04","1.00","4:03","173","177","--","--","166","1.49","57","3:45","169","4:02","4:02"
"21","0:01.7","1:25:06","0.01","2:53","174","174","--","--","166","2.09","0","4:05","167","0:01.7","2:53"
"Podsumowanie","1:25:06","1:25:06","20.01","4:15","162","179","106","107","163","1.45","1,132","3:45","170","1:25:00","4:15"
