"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:46.6","4:46.6","1.00","4:47","129","143","5","--","160","1.31","50","4:11","167","4:41","4:41"
"2","4:34.7","9:21.3","1.00","4:35","132","140","--","--","158","1.38","49","4:03","164","4:34","4:34"
"3","4:34.0","13:55","1.00","4:34","135","143","--","5","157","1.40","51","3:54","165","4:34","4:34"
"4","2:50.6","16:46","0.56","5:02","139","148","--","--","157","1.27","32","4:00","163","2:50","5:01"
"Podsumowanie","16:46","16:46","3.56","4:42","133","148","5","5","158","1.35","182","3:54","167","16:39","4:40"
