"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:40.8","4:40.8","1.00","4:41","135","141","--","--","158","1.36","51","4:13","163","4:40","4:40"
"2","4:25.9","9:06.8","1.00","4:26","141","144","15","3","160","1.41","51","4:06","165","4:25.9","4:26"
"3","4:29.9","13:37","1.00","4:30","143","147","18","--","162","1.37","52","4:00","165","4:29.9","4:30"
"4","4:15.1","17:52","1.00","4:15","151","159","--","--","161","1.46","54","4:05","167","4:15","4:15"
"5","4:14.7","22:06","1.00","4:15","159","171","8","14","160","1.47","58","4:05","167","4:14.7","4:15"
"6","3:23.1","25:30","0.82","4:08","159","171","--","11","161","1.50","46","4:10","165","3:23","4:08"
"Podsumowanie","25:30","25:30","5.82","4:23","147","171","41","28","160","1.42","312","4:00","167","25:28","4:23"
