"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:33.6","0:33.6","0.20","2:48","109","129","--","--","168","2.13","3","2:42","190","0:33.6","2:48"
"2","1:07.0","1:40.6","0.21","5:14","137","144","3","--","157","1.22","14","2:39","184","1:07.0","5:14"
"3","0:33.5","2:14.0","0.21","2:40","163","182","--","--","177","2.12","8","2:41","184","0:33.5","2:40"
"4","1:08.7","3:22.8","0.20","5:48","147","156","--","3","154","1.12","16","2:41","182","1:08","5:44"
"5","0:32.9","3:55.7","0.20","2:44","145","146","--","--","178","2.06","7","2:45","184","0:32.9","2:44"
"6","1:06.0","5:01.6","0.21","5:17","145","147","--","--","158","1.20","15","2:43","186","1:06.0","5:17"
"7","0:32.9","5:34.5","0.20","2:44","149","156","3","--","179","2.04","7","2:47","184","0:32.9","2:44"
"8","1:09.4","6:44.0","0.21","5:30","150","154","--","--","158","1.15","16","2:45","188","1:09","5:28"
"9","0:32.7","7:16.7","0.21","2:39","150","153","--","--","178","2.12","7","2:43","184","0:32.7","2:39"
"10","1:07.9","8:24.6","0.21","5:28","150","151","--","3","158","1.16","16","2:39","188","1:07.9","5:28"
"11","0:32.3","8:56.9","0.20","2:41","150","152","--","--","182","2.04","7","2:47","188","0:32","2:40"
"12","1:03.1","10:00","0.22","4:50","149","152","--","--","160","1.30","15","2:46","184","1:03.1","4:50"
"13","0:32.7","10:33","0.20","2:46","149","151","3","--","182","1.98","7","2:45","190","0:32","2:43"
"14","1:02.2","11:35","0.21","4:56","156","168","--","--","160","1.27","15","2:45","186","1:02","4:55"
"15","0:32.7","12:08","0.21","2:39","151","153","--","--","182","2.08","7","2:45","188","0:32.7","2:39"
"16","1:05.3","13:13","0.21","5:14","153","154","--","2","158","1.21","15","2:44","184","1:05","5:13"
"17","0:32.2","13:45","0.21","2:36","151","153","--","--","182","2.12","7","2:43","192","0:32.2","2:36"
"18","1:03.3","14:48","0.21","4:56","154","157","--","--","159","1.28","15","2:41","184","1:03","4:55"
"19","0:33.1","15:22","0.20","2:45","158","161","--","--","179","2.03","8","2:50","186","0:33","2:45"
"20","1:07.7","16:29","0.21","5:18","156","161","--","--","157","1.20","17","2:47","182","1:07.7","5:18"
"21","0:32.3","17:02","0.20","2:43","158","161","--","--","180","2.04","8","2:43","186","0:32","2:42"
"22","1:01.6","18:03","0.21","4:50","155","161","--","--","159","1.30","15","2:42","184","1:01.6","4:50"
"23","0:32.1","18:35","0.20","2:37","156","157","--","--","180","2.12","7","2:38","190","0:32","2:37"
"24","1:01.6","19:37","0.21","4:56","158","162","--","--","158","1.28","15","2:38","188","1:01","4:54"
"25","0:32.4","20:09","0.20","2:39","167","187","--","--","180","2.10","8","2:41","188","0:32.4","2:39"
"26","1:03.5","21:13","0.21","5:02","167","187","1","--","157","1.26","17","2:40","188","1:03","5:00"
"27","0:32.4","21:45","0.20","2:39","165","168","--","--","180","2.09","8","2:40","188","0:32.4","2:39"
"28","1:05.1","22:50","0.21","5:13","162","169","--","--","157","1.22","17","2:39","186","1:05","5:13"
"29","0:32.2","23:22","0.20","2:39","161","168","--","--","182","2.07","7","2:39","188","0:32","2:38"
"30","1:04.9","24:27","0.21","5:06","163","168","--","--","159","1.23","17","2:38","190","1:04.9","5:06"
"31","0:31.9","24:59","0.20","2:38","164","172","--","2","184","2.06","8","2:41","190","0:31.9","2:38"
"32","1:02.4","26:02","0.21","4:54","166","171","--","--","153","1.34","16","2:39","186","1:02","4:52"
"33","0:31.9","26:33","0.20","2:36","167","173","--","--","184","2.08","8","2:39","190","0:31.9","2:36"
"34","1:02.2","27:36","0.22","4:49","167","173","--","--","159","1.31","16","2:38","187","1:02","4:48"
"35","0:31.7","28:07","0.21","2:31","169","174","3","--","185","2.14","8","2:38","191","0:31.7","2:31"
"36","1:03.7","29:11","0.21","5:00","167","174","--","--","158","1.26","17","2:36","189","1:03.7","5:00"
"37","0:31.9","29:43","0.20","2:36","169","174","--","--","184","2.09","8","2:39","190","0:31","2:31"
"38","1:02.5","30:46","0.21","4:56","166","176","--","3","158","1.28","16","2:38","186","1:02.5","4:56"
"39","0:30.2","31:16","0.20","2:32","165","175","--","--","187","2.11","7","2:31","197","0:30","2:31"
"40","0:19.0","31:35","0.05","6:10","175","178","--","--","187","0.87","5","2:29","199","0:19.0","6:10"
"Podsumowanie","31:35","31:35","8.11","3:54","156","187","14","13","166","1.52","450","2:29","199","31:28","3:53"
