"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:43.5","4:43.5","1.00","4:44","137","158","1","158","1.34","56","4:22","164","4:43.5","4:44"
"2","4:33.9","9:17.4","1.00","4:34","148","158","--","159","1.38","62","4:21","162","4:33","4:33"
"3","4:23.8","13:41","1.00","4:24","147","152","--","158","1.44","58","4:14","162","4:23.8","4:24"
"4","3:45.7","17:27","0.88","4:18","149","152","--","159","1.47","50","4:12","162","3:45.7","4:18"
"Podsumowanie","17:27","17:27","3.88","4:30","145","158","1","158","1.40","226","4:12","164","17:26","4:30"
