"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:52.2","3:52.2","1.00","3:52","134","161","9","9","167","1.54","44","3:35","182","3:51","3:51"
"2","5:14.5","9:06.7","1.00","5:15","138","146","15","14","162","1.18","62","3:33","178","5:09","5:09"
"3","3:44.1","12:51","1.00","3:44","144","151","6","9","170","1.58","48","3:35","180","3:44.1","3:44"
"4","5:15.0","18:06","1.00","5:15","137","147","16","15","163","1.17","56","3:32","188","4:59","4:59"
"5","3:35.7","21:41","1.00","3:36","133","140","11","12","171","1.62","34","3:26","188","3:35.7","3:36"
"6","5:42.6","27:24","1.00","5:43","134","150","16","14","159","1.10","54","3:16","184","5:09","5:09"
"7","3:28.5","30:53","1.00","3:29","127","135","9","12","172","1.67","25","3:18","184","3:28","3:28"
"8","5:41.3","36:34","1.00","5:41","132","166","16","14","164","1.07","47","3:06","187","5:31","5:31"
"9","3:17.5","39:51","1.00","3:17","174","182","16","13","176","1.73","53","3:11","184","3:17","3:17"
"10","5:58.4","45:50","1.00","5:58","157","184","20","14","154","1.09","75","3:00","189","5:26","5:26"
"11","3:22.5","49:12","1.00","3:23","175","181","7","13","178","1.67","55","3:13","184","3:22","3:22"
"12","2:21.2","51:33","0.59","3:59","176","182","11","11","176","1.43","38","3:09","184","2:02","3:26"
"Podsumowanie","51:33","51:33","11.59","4:27","145","184","152","149","166","1.35","591","3:00","189","49:34","4:17"
