"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:24.8","4:24.8","1.00","4:25","151","171","1","162","1.40","59","2:57","184","4:24","4:24"
"2","1:25.9","5:50.7","0.26","5:25","148","160","--","158","1.17","19","3:40","168","1:11","4:28"
"Podsumowanie","5:50.7","5:50.7","1.26","4:37","151","171","1","161","1.35","78","2:57","184","5:35","4:25"
