"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:15.6","4:15.6","1.00","4:16","132","150","2","--","116","2.03","49","3:43","152","4:14","4:14"
"2","4:10.8","8:26.3","1.00","4:11","138","148","--","--","155","1.55","50","3:58","165","4:10","4:10"
"3","4:15.8","12:42","1.00","4:16","143","165","--","2","164","1.43","54","3:59","170","4:15.8","4:16"
"4","3:59.4","16:41","1.00","3:59","163","168","5","6","166","1.51","63","3:51","178","3:59","3:59"
"5","3:57.5","20:39","1.00","3:58","162","166","--","4","167","1.52","61","3:50","170","3:57.5","3:58"
"6","3:59.9","24:39","1.00","4:00","164","168","9","--","169","1.48","62","3:44","175","3:59.9","4:00"
"7","3:56.8","28:36","1.00","3:57","164","166","--","--","164","1.54","61","3:45","169","3:56","3:56"
"8","3:52.4","32:28","1.00","3:52","167","173","--","6","170","1.52","62","3:45","178","3:52.4","3:52"
"9","3:49.4","36:18","1.00","3:49","167","172","6","7","163","1.61","60","3:42","169","3:49","3:49"
"10","3:37.2","39:55","1.00","3:37","171","181","3","--","167","1.66","58","3:17","171","3:37","3:37"
"11","1:45.8","41:41","0.47","3:45","172","174","--","--","169","1.58","28","3:20","171","1:45.8","3:45"
"Podsumowanie","41:41","41:41","10.47","3:59","157","181","24","25","164","1.58","608","3:17","178","41:36","3:58"
