"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:41.3","3:41.3","1.00","3:41","132","145","19","--","171","1.58","41","3:22","188","3:39","3:39"
"2","3:36.7","7:17.9","1.00","3:37","130","134","4","11","172","1.61","38","3:23","175","3:36","3:36"
"3","3:39.5","10:57","1.00","3:40","141","148","--","9","169","1.62","45","3:35","172","3:39.5","3:40"
"4","3:39.8","14:37","1.00","3:40","139","145","15","--","172","1.59","42","3:33","175","3:39.8","3:40"
"5","3:40.7","18:18","1.00","3:41","141","166","--","3","170","1.60","42","3:26","174","3:40","3:40"
"6","3:41.5","21:59","1.00","3:41","148","153","6","10","172","1.58","48","3:28","198","3:41.5","3:41"
"7","3:41.8","25:41","1.00","3:42","145","152","9","4","171","1.58","44","3:36","176","3:41","3:41"
"8","3:35.0","29:16","1.00","3:35","142","145","--","19","171","1.63","40","3:29","177","3:35","3:35"
"9","3:45.9","33:02","1.00","3:46","135","143","2","--","169","1.57","32","3:36","174","3:45.9","3:46"
"10","3:33.9","36:36","1.00","3:34","135","140","--","--","175","1.60","30","3:17","180","3:33.9","3:34"
"11","0:02.5","36:39","0.02","2:44","137","137","--","--","172","2.13","0","3:25","172","0:02.5","2:44"
"Podsumowanie","36:39","36:39","10.02","3:40","139","166","56","56","171","1.60","402","3:17","198","36:34","3:39"
