"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:47.8","3:47.8","1.04","3:39","127","149","--","161","1.70","40","3:24","172","3:46","3:37"
"2","3:42.7","7:30.5","1.03","3:36","128","138","--","164","1.70","38","3:28","168","3:42.7","3:36"
"3","3:48.0","11:18","1.04","3:39","130","134","--","163","1.68","40","3:36","166","3:48","3:39"
"4","3:40.1","14:59","1.05","3:31","129","133","--","165","1.73","36","3:27","169","3:40","3:30"
"5","3:29.9","18:29","0.99","3:31","136","170","","165","1.72","38","3:29","168","3:29.9","3:31"
"Podsumowanie","18:29","18:29","5.15","3:35","130","170","","164","1.71","192","3:24","172","18:27","3:35"
