"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:29.1","4:29.1","1.00","4:29","128","137","--","2","160","1.40","46","4:09","164","4:29","4:29"
"2","4:15.2","8:44.4","1.00","4:15","139","162","--","--","162","1.46","50","4:00","170","4:14","4:14"
"3","4:19.3","13:04","1.00","4:19","143","145","3","--","162","1.43","53","4:07","165","4:19","4:19"
"4","4:12.1","17:16","1.00","4:12","144","150","5","5","163","1.46","51","4:03","167","4:12","4:12"
"5","4:14.0","21:30","1.00","4:14","142","148","5","10","162","1.46","49","4:03","165","4:14.0","4:14"
"6","4:15.4","25:45","1.00","4:15","140","147","9","--","162","1.45","45","3:57","165","4:15.4","4:15"
"7","4:08.3","29:53","1.00","4:08","162","167","--","12","164","1.47","60","4:00","167","4:08","4:08"
"8","4:08.5","34:02","1.00","4:09","161","167","5","--","165","1.46","60","4:03","170","4:08.5","4:08"
"9","4:14.1","38:16","1.00","4:14","150","165","3","--","164","1.44","50","3:48","170","4:12","4:12"
"10","4:06.6","42:23","1.00","4:07","144","156","3","--","165","1.48","40","3:48","172","4:06.6","4:07"
"11","3:57.0","46:20","1.00","3:57","152","169","--","7","166","1.52","46","3:48","171","3:57","3:57"
"12","3:40.9","50:00","1.00","3:41","159","163","2","--","170","1.60","50","3:28","172","3:40.9","3:41"
"13","0:50.7","50:51","0.23","3:45","160","164","--","--","171","1.56","11","3:23","174","0:50","3:42"
"Podsumowanie","50:51","50:51","12.23","4:10","147","169","37","36","164","1.47","611","3:23","174","50:46","4:09"
