"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:43.8","3:43.8","1.00","3:44","141","155","--","--","167","1.61","47","3:19","175","3:43.8","3:44"
"2","3:43.4","7:27.2","1.00","3:43","152","156","5","2","170","1.58","53","3:29","174","3:43.4","3:43"
"3","3:51.6","11:19","1.00","3:52","147","153","15","--","169","1.53","50","3:49","174","3:51","3:51"
"4","3:39.5","14:58","1.00","3:39","155","179","3","13","168","1.63","51","3:34","172","3:39.5","3:40"
"5","3:40.6","18:39","1.00","3:41","165","173","--","6","170","1.60","57","3:33","175","3:40","3:40"
"6","3:41.9","22:21","1.00","3:42","167","173","6","--","171","1.58","57","3:28","174","3:41.9","3:42"
"7","3:46.8","26:08","1.00","3:47","170","173","10","--","170","1.55","59","3:45","174","3:46.8","3:47"
"8","3:29.1","29:37","1.00","3:29","168","173","--","10","170","1.69","54","3:21","175","3:29.1","3:29"
"9","3:30.8","33:08","1.00","3:31","169","173","--","10","171","1.66","54","3:23","178","3:30","3:30"
"10","3:00.8","36:08","0.86","3:31","173","176","2","--","175","1.63","47","3:29","178","3:00","3:30"
"Podsumowanie","36:08","36:08","9.86","3:40","160","179","41","41","170","1.60","529","3:19","178","36:06","3:40"
