"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:06.0","4:06.0","1.00","4:06","151","166","3","170","1.44","56","3:13","189","4:05","4:05"
"2","1:31.0","5:37.0","0.44","3:27","157","163","--","178","1.63","22","3:04","196","1:31","3:27"
"Podsumowanie","5:37.0","5:37.0","1.44","3:54","153","166","3","172","1.49","78","3:04","196","5:36","3:53"
