"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:02.8","3:02.8","0.88","3:27","150","159","--","--","172","1.69","40","3:18","184","3:02.8","3:27"
"2","3:00.2","6:03.0","0.63","4:44","157","159","--","2","159","1.33","43","3:32","172","3:00","4:44"
"3","3:32.9","9:35.9","1.00","3:33","157","167","--","6","170","1.66","50","3:19","178","3:32.9","3:33"
"4","2:26.3","12:02","0.55","4:25","157","161","1","--","162","1.40","34","4:08","165","2:26","4:24"
"5","3:01.3","15:04","0.88","3:27","162","167","6","--","175","1.66","44","3:17","181","3:01","3:27"
"6","2:58.8","18:02","0.68","4:25","161","164","--","--","164","1.38","43","3:17","175","2:58.8","4:25"
"7","3:00.1","21:02","0.92","3:16","172","181","--","5","177","1.73","46","3:02","183","3:00","3:16"
"8","3:00.5","24:03","0.71","4:14","170","174","--","4","166","1.43","46","3:19","178","3:00.5","4:14"
"9","3:01.2","27:04","0.96","3:09","175","183","2","--","181","1.75","47","3:04","186","3:01","3:09"
"10","0:18.1","27:22","0.02","16:45","175","176","--","--","181","0.33","4","3:04","181","0:18","16:41"
"11","4:32.9","31:55","1.00","4:33","145","176","8","5","161","1.36","43","4:08","167","4:32.9","4:33"
"12","4:21.6","36:17","1.00","4:22","152","156","--","2","163","1.41","50","4:08","167","4:21","4:21"
"13","2:09.8","38:27","0.49","4:24","156","158","3","--","164","1.38","27","4:12","168","2:09","4:23"
"Podsumowanie","38:27","38:27","9.72","3:57","159","183","20","23","167","1.50","517","3:02","186","38:24","3:57"
