"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:28.9","4:28.9","1.00","4:29","139","149","--","--","161","1.39","54","4:18","165","4:28.9","4:29"
"2","4:16.1","8:45.0","1.00","4:16","151","165","1","--","163","1.44","58","4:01","165","4:16","4:16"
"3","4:19.7","13:05","1.00","4:20","158","169","7","4","164","1.41","63","4:02","167","4:19","4:19"
"4","4:18.5","17:23","1.00","4:18","157","169","--","--","163","1.43","61","4:10","165","4:18.5","4:18"
"5","4:16.9","21:40","1.00","4:17","158","164","4","--","164","1.43","61","4:16","167","4:16.9","4:17"
"6","4:11.9","25:52","1.00","4:12","160","172","--","--","163","1.46","60","4:07","167","4:11.9","4:12"
"7","4:11.7","30:04","1.00","4:12","159","165","2","4","165","1.45","59","4:06","168","4:11","4:11"
"8","4:11.5","34:15","1.00","4:12","159","163","--","4","164","1.46","59","4:06","168","4:11.5","4:12"
"9","4:12.7","38:28","1.00","4:13","161","168","1","--","165","1.44","60","4:04","167","4:12.7","4:13"
"10","4:01.3","42:29","1.00","4:01","165","172","--","--","166","1.50","59","3:58","168","4:01","4:01"
"11","0:05.0","42:34","0.02","4:13","167","167","--","--","166","1.43","1","3:57","168","0:05.0","4:13"
"Podsumowanie","42:34","42:34","10.02","4:15","156","172","13","12","164","1.44","595","3:57","168","42:32","4:15"
