"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:41.5","4:41.5","1.00","4:41","124","137","--","126","159","1.34","47","4:00","176","4:39","4:39"
"2","4:18.0","8:59.5","1.00","4:18","137","144","--","--","162","1.44","51","4:09","165","4:17","4:17"
"3","4:22.9","13:22","1.00","4:23","134","143","4","5","162","1.41","48","4:05","168","4:22","4:22"
"4","4:16.6","17:39","1.00","4:17","141","147","--","4","163","1.44","52","4:12","167","4:16.6","4:17"
"5","4:30.8","22:10","1.00","4:31","142","149","11","--","163","1.36","54","4:13","167","4:30","4:30"
"6","4:18.2","26:28","1.00","4:18","139","145","--","2","162","1.43","47","4:08","165","4:18.2","4:18"
"7","4:24.5","30:52","1.00","4:24","146","149","14","--","164","1.39","54","4:03","167","4:24","4:24"
"8","4:16.3","35:09","1.00","4:16","146","150","5","--","163","1.43","51","4:03","168","4:16","4:16"
"9","4:09.4","39:18","1.00","4:09","140","146","--","17","162","1.49","41","3:59","165","4:09.4","4:09"
"10","4:15.4","43:34","1.00","4:15","144","148","--","--","164","1.44","46","4:05","167","4:15","4:15"
"11","4:13.5","47:47","1.00","4:13","141","148","4","--","164","1.44","41","3:48","172","4:13","4:13"
"12","4:16.6","52:04","1.00","4:17","139","147","--","8","163","1.44","38","4:01","167","4:16","4:16"
"13","4:16.8","56:20","1.00","4:17","142","149","5","4","163","1.44","41","4:11","165","4:16.8","4:17"
"14","4:17.7","1:00:38","1.00","4:18","143","149","3","--","164","1.42","43","4:13","169","4:17.7","4:18"
"15","4:11.2","1:04:49","1.00","4:11","142","149","--","9","164","1.46","39","3:57","166","4:11","4:11"
"16","4:16.5","1:09:06","1.00","4:17","143","148","4","2","165","1.42","40","4:09","167","4:16.5","4:17"
"17","4:22.5","1:13:28","1.00","4:22","144","148","7","5","164","1.40","42","4:16","167","4:22","4:22"
"18","4:17.1","1:17:45","1.00","4:17","144","148","--","3","164","1.42","39","4:13","167","4:17","4:17"
"19","4:18.5","1:22:04","1.00","4:18","145","150","4","--","164","1.41","42","4:07","169","4:18.5","4:18"
"20","4:09.0","1:26:13","1.00","4:09","148","152","--","--","165","1.46","44","4:00","169","4:09","4:09"
"21","0:03.1","1:26:16","0.01","4:19","145","145","--","--","164","1.41","0","4:16","164","0:03","4:10"
"Podsumowanie","1:26:16","1:26:16","20.01","4:19","141","152","61","185","163","1.42","900","3:48","176","1:26:08","4:18"
