"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:14.8","0:14.8","0.08","2:55","104","107","--","--","183","1.87","1","2:41","197","0:14","2:45"
"2","1:03.3","1:18.1","0.16","6:28","125","145","4","--","162","0.96","9","2:34","197","1:03","6:26"
"3","0:15.4","1:33.5","0.09","2:51","125","127","--","--","193","1.82","2","2:42","197","0:15.4","2:51"
"4","1:00.6","2:34.1","0.15","6:39","129","139","--","4","162","0.93","10","2:45","190","1:00","6:36"
"5","0:15.2","2:49.3","0.08","3:00","131","132","--","--","179","1.86","2","2:50","193","0:15","2:58"
"6","0:55.0","3:44.3","0.15","6:19","139","151","--","--","164","0.97","10","2:48","190","0:55.0","6:18"
"7","0:15.4","3:59.7","0.09","2:53","136","144","4","--","177","1.96","3","2:45","190","0:15.4","2:53"
"8","0:55.6","4:55.3","0.15","6:00","134","144","--","--","164","1.02","10","2:45","190","0:55","5:56"
"9","0:14.9","5:10.1","0.08","2:59","140","141","--","--","176","1.90","3","2:47","192","0:14.9","2:59"
"10","0:58.3","6:08.4","0.16","6:01","140","143","--","--","163","1.02","11","2:45","192","0:58","6:00"
"11","0:15.0","6:23.4","0.09","2:48","135","136","--","--","179","1.99","2","2:37","194","0:15.0","2:48"
"12","1:01.9","7:25.3","0.17","6:10","139","141","--","--","163","0.99","12","2:30","192","1:01.9","6:10"
"13","0:14.7","7:40.0","0.09","2:50","138","138","--","--","184","1.92","2","2:28","194","0:14.7","2:50"
"14","1:01.2","8:41.1","0.16","6:20","128","141","--","--","166","0.95","9","2:23","194","1:01","6:19"
"15","0:15.1","8:56.2","0.09","2:52","133","134","--","4","182","1.91","2","2:39","197","0:15","2:52"
"16","0:56.8","9:53.0","0.16","5:57","143","152","--","--","165","1.02","11","2:37","197","0:56.8","5:57"
"17","0:14.5","10:07","0.09","2:48","136","138","4","--","186","1.93","2","2:26","197","0:14","2:42"
"18","0:57.9","11:05","0.17","5:45","143","154","--","--","166","1.05","11","2:27","197","0:57.9","5:45"
"19","0:14.7","11:20","0.09","2:47","139","141","--","--","184","1.95","2","2:39","199","0:14.7","2:47"
"20","0:08.8","11:29","0.04","3:32","140","141","--","--","189","1.50","1","2:40","194","0:08.8","3:32"
"21","0:05.8","11:35","0.00","52:45","141","141","--","--","171","0.11","1","7:21","171","0:01","9:06"
"Podsumowanie","11:35","11:35","2.34","4:57","135","154","11","8","168","1.19","116","2:23","199","11:26","4:53"
