"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:47.6","0:47.6","0.20","3:56","116","132","7","--","157","1.62","6","3:41","172","0:47.6","3:56"
"2","1:20.1","2:07.7","0.22","5:59","133","145","6","12","149","1.12","15","3:42","172","1:18","5:50"
"3","0:45.5","2:53.3","0.20","3:50","132","136","10","--","155","1.68","8","3:25","172","0:45","3:47"
"4","1:22.3","4:15.6","0.23","6:02","137","142","--","12","154","1.07","16","3:36","170","1:22.3","6:02"
"5","0:43.7","4:59.4","0.20","3:40","133","140","10","--","157","1.74","8","3:17","179","0:43","3:37"
"6","1:23.9","6:23.2","0.23","6:07","137","139","--","--","148","1.10","16","3:26","175","1:23.9","6:07"
"7","0:44.0","7:07.2","0.20","3:38","134","139","9","5","160","1.72","8","3:16","179","0:44.0","3:38"
"8","1:21.0","8:28.2","0.23","5:55","135","139","--","12","144","1.17","15","3:31","175","1:21","5:56"
"9","0:43.6","9:11.8","0.20","3:35","135","137","13","--","162","1.72","8","3:18","181","0:43.6","3:35"
"10","1:17.1","10:29","0.23","5:42","138","140","--","13","153","1.15","15","3:20","177","1:17","5:42"
"11","0:42.6","11:11","0.20","3:33","136","142","11","--","162","1.73","7","3:11","183","0:42","3:30"
"12","1:20.2","12:32","0.23","5:44","141","145","--","11","149","1.17","16","3:17","177","1:20.2","5:44"
"13","0:42.6","13:14","0.20","3:31","137","141","11","--","163","1.74","7","3:08","183","0:42","3:28"
"14","1:24.0","14:38","0.23","6:08","139","142","--","--","146","1.12","16","3:14","181","1:24.0","6:08"
"15","0:42.0","15:20","0.20","3:33","139","141","13","11","162","1.74","8","3:08","183","0:42.0","3:33"
"16","2:11.0","17:31","0.42","5:10","137","142","13","13","156","1.24","24","3:10","183","2:04","4:54"
"17","1:24.0","18:55","0.22","6:20","138","142","--","12","148","1.07","15","3:20","181","1:24.0","6:20"
"18","0:41.9","19:37","0.20","3:32","137","138","13","--","165","1.71","7","3:13","185","0:41.9","3:32"
"19","1:28.9","21:06","0.23","6:26","146","176","--","12","148","1.05","17","3:17","181","1:26","6:13"
"20","0:40.9","21:47","0.20","3:27","143","155","--","--","168","1.72","8","3:00","185","0:40.9","3:27"
"21","1:22.1","23:09","0.23","6:03","140","144","12","13","143","1.15","15","3:11","183","1:22","6:03"
"22","0:39.9","23:49","0.20","3:20","142","144","13","--","166","1.81","7","2:57","189","0:39.9","3:20"
"23","0:05.5","23:54","0.01","6:12","144","144","--","--","182","0.89","1","3:02","185","0:05","5:38"
"Podsumowanie","23:54","23:54","4.90","4:53","137","176","140","127","153","1.33","263","2:57","189","23:39","4:49"
