"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","8:02.0","8:02.0","1.80","4:27","149","160","162","1.38","108","4:10","171","7:56","4:24"
"Podsumowanie","8:02.0","8:02.0","1.80","4:27","149","160","162","1.38","108","4:10","171","7:56","4:24"
