"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","5:00.7","5:00.7","1.00","5:01","138","162","16","159","1.26","61","4:40","169","4:59","4:59"
"2","4:38.9","9:39.5","1.00","4:39","143","149","12","163","1.32","58","4:19","167","4:38.9","4:39"
"3","3:16.5","12:56","0.73","4:29","146","149","--","164","1.36","42","4:20","167","3:16.5","4:29"
"Podsumowanie","12:56","12:56","2.73","4:44","142","162","28","162","1.31","161","4:19","169","12:54","4:44"
