"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:44.1","0:44.1","0.21","3:27","114","138","9","--","178","1.63","5","3:03","184","0:44","3:26"
"2","1:21.2","2:05.4","0.23","5:55","141","148","--","--","151","1.12","17","3:24","179","1:21.2","5:55"
"3","0:41.1","2:46.5","0.20","3:25","141","143","--","--","178","1.65","8","3:08","186","0:41","3:24"
"4","1:17.8","4:04.3","0.24","5:29","142","144","--","9","150","1.22","16","3:13","185","1:17.8","5:29"
"5","0:39.8","4:44.1","0.20","3:19","141","143","13","--","178","1.69","8","3:04","187","0:39.8","3:19"
"6","1:22.7","6:06.7","0.24","5:47","143","144","--","12","157","1.10","17","3:13","184","1:22.7","5:47"
"7","0:40.6","6:47.3","0.20","3:19","145","154","12","--","182","1.65","8","3:04","186","0:40","3:17"
"8","1:23.4","8:10.7","0.23","5:59","149","160","--","12","157","1.06","19","3:11","184","1:23.4","5:59"
"9","0:39.6","8:50.3","0.20","3:17","150","156","12","--","178","1.71","8","2:57","187","0:39","3:14"
"10","1:26.7","10:17","0.24","6:07","148","151","--","12","155","1.05","19","3:05","184","1:26.7","6:07"
"11","0:40.4","10:57","0.20","3:19","148","151","13","--","178","1.69","8","3:00","186","0:40","3:18"
"12","1:26.2","12:24","0.23","6:11","149","154","--","13","152","1.07","19","3:07","186","1:26","6:10"
"13","0:39.3","13:03","0.21","3:08","151","152","12","--","180","1.78","9","2:52","192","0:39.3","3:08"
"14","1:25.7","14:29","0.24","6:04","147","150","--","12","155","1.06","18","3:00","189","1:25","6:01"
"15","0:39.5","15:08","0.21","3:11","148","150","13","--","183","1.72","8","2:51","192","0:39.5","3:11"
"16","1:23.3","16:31","0.23","6:04","145","148","--","12","152","1.08","17","3:00","187","1:23","6:02"
"17","0:38.3","17:10","0.20","3:09","140","144","12","--","178","1.78","7","2:55","189","0:38.3","3:09"
"18","1:22.7","18:32","0.23","6:07","147","152","--","13","157","1.04","17","2:58","188","1:22","6:04"
"19","0:37.1","19:10","0.20","3:08","146","147","12","--","185","1.72","7","2:50","194","0:37","3:07"
"20","0:40.1","19:50","0.05","14:46","146","148","--","--","142","0.48","8","2:55","194","0:40","14:44"
"Podsumowanie","19:50","19:50","4.18","4:45","144","160","107","95","163","1.27","243","2:50","194","19:46","4:44"
