"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:46.9","4:46.9","1.00","4:47","139","158","--","--","160","1.30","57","4:21","182","4:46.9","4:47"
"2","4:01.7","8:48.6","1.00","4:02","166","185","--","5","165","1.50","60","3:25","176","4:01","4:01"
"3","3:50.9","12:39","1.00","3:51","183","192","10","--","168","1.55","64","3:37","172","3:50.9","3:51"
"4","3:56.5","16:36","1.00","3:57","182","189","8","9","167","1.52","65","3:51","172","3:56.5","3:57"
"5","4:04.2","20:40","1.00","4:04","182","185","--","11","163","1.50","67","3:54","171","4:04","4:04"
"6","4:14.8","24:55","1.00","4:15","182","199","3","--","160","1.47","70","4:11","165","4:14.8","4:15"
"7","4:13.7","29:09","1.00","4:14","191","198","--","2","160","1.47","74","4:06","165","4:13.7","4:14"
"8","4:15.4","33:24","1.00","4:15","190","198","3","--","160","1.47","74","4:10","167","4:15","4:15"
"9","3:34.8","36:59","1.00","3:35","189","192","2","--","170","1.64","62","3:29","173","3:34.8","3:35"
"10","3:35.3","40:34","1.00","3:35","189","192","--","--","171","1.63","62","3:31","173","3:35","3:35"
"11","4:00.6","44:35","1.00","4:01","189","197","1","--","164","1.52","70","3:50","170","4:00.6","4:01"
"12","3:58.1","48:33","1.00","3:58","188","194","4","3","165","1.53","68","3:44","168","3:58","3:58"
"13","3:54.5","52:27","1.00","3:54","187","195","--","4","166","1.54","66","3:50","168","3:54.5","3:54"
"14","3:57.3","56:25","1.00","3:57","171","186","--","1","165","1.53","54","3:50","172","3:57","3:57"
"15","4:01.6","1:00:26","1.00","4:02","162","171","4","--","165","1.51","40","3:44","172","4:01","4:01"
"16","0:20.6","1:00:47","0.09","3:40","156","163","--","--","168","1.63","3","3:41","170","0:20","3:34"
"Podsumowanie","1:00:47","1:00:47","15.09","4:02","179","199","35","35","164","1.51","956","3:25","182","1:00:44","4:01"
