"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:38.9","4:38.9","1.00","4:39","145","159","--","--","155","1.39","57","4:26","165","4:38.9","4:39"
"2","4:29.3","9:08.2","1.00","4:29","156","162","14","4","157","1.42","62","4:32","162","4:29","4:29"
"3","4:40.4","13:49","1.00","4:40","159","168","17","--","159","1.34","65","4:23","162","4:40","4:40"
"4","4:23.6","18:12","1.00","4:24","159","171","5","17","158","1.45","60","4:10","167","4:23.6","4:24"
"5","4:18.6","22:31","1.00","4:19","154","158","7","12","157","1.48","55","4:07","162","4:18","4:18"
"6","4:35.6","27:06","1.00","4:36","159","164","18","--","157","1.38","62","4:12","165","4:35","4:35"
"7","4:25.3","31:32","1.00","4:25","152","159","4","16","156","1.45","52","4:06","160","4:24","4:24"
"8","4:28.5","36:00","1.00","4:29","153","168","--","4","158","1.41","52","4:00","167","4:28.5","4:29"
"9","4:38.3","40:38","1.00","4:38","160","171","20","11","159","1.35","61","3:58","167","4:37","4:37"
"10","4:15.7","44:54","1.00","4:16","160","166","11","11","160","1.46","56","4:11","170","4:15","4:15"
"11","4:17.0","49:11","1.00","4:17","166","174","6","10","161","1.45","60","4:00","169","4:17","4:17"
"12","4:45.9","53:57","1.00","4:46","158","169","18","7","161","1.31","59","4:21","167","4:45.9","4:46"
"13","4:17.2","58:14","1.00","4:17","160","168","--","18","160","1.46","55","3:46","169","4:17.2","4:17"
"14","4:14.9","1:02:29","1.00","4:15","164","170","17","12","162","1.45","57","3:35","172","4:14","4:14"
"15","4:19.8","1:06:49","1.00","4:20","163","171","--","4","161","1.43","57","3:58","169","4:19.8","4:20"
"16","4:23.9","1:11:13","1.00","4:24","166","173","21","10","163","1.40","59","3:55","170","4:23.9","4:24"
"17","4:20.1","1:15:33","1.00","4:20","164","170","--","9","162","1.42","56","4:05","170","4:20","4:20"
"18","4:19.6","1:19:53","1.00","4:20","156","172","13","17","159","1.46","40","4:00","169","4:18","4:18"
"19","4:15.9","1:24:09","1.00","4:16","156","164","3","--","162","1.45","38","4:16","165","4:15.9","4:16"
"20","4:11.7","1:28:20","1.00","4:12","160","173","--","13","162","1.47","45","3:59","167","4:11.7","4:12"
"21","1:53.1","1:30:13","0.47","4:03","163","167","--","--","163","1.52","24","3:36","167","1:53","4:02"
"Podsumowanie","1:30:13","1:30:13","20.47","4:24","158","174","173","174","159","1.42","1,132","3:35","172","1:30:06","4:24"
