"Okrążenia","Czas","Łączny czas","Dystans","Średnia prędkość","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Kalorie","Maksymalna prędkość","Czas ruchu","Średnia prędkość ruchu"
"1","2:57:59","2:57:59","16.92","5.7","120","162","977","974","1,209","11.6","2:55:55","5.8"
"Podsumowanie","2:57:59","2:57:59","16.92","5.7","120","162","977","974","1,209","11.6","2:55:55","5.8"
