"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:48.2","3:48.2","1.00","3:48","146","153","--","7","166","1.59","50","3:36","170","3:48","3:48"
"2","4:02.6","7:50.8","1.00","4:03","155","173","24","5","167","1.48","58","3:51","176","4:02.6","4:03"
"3","3:58.0","11:49","1.00","3:58","165","170","--","11","165","1.53","60","3:47","172","3:58.0","3:58"
"4","3:47.4","15:36","1.00","3:47","167","173","--","7","169","1.57","58","3:44","172","3:47","3:47"
"5","3:59.7","19:36","1.00","4:00","166","173","23","6","169","1.48","61","3:48","174","3:59.7","4:00"
"6","3:46.6","23:22","1.00","3:47","167","171","--","12","168","1.57","57","3:36","172","3:46","3:46"
"7","3:44.4","27:07","1.00","3:44","169","174","--","6","170","1.57","58","3:36","174","3:44.4","3:44"
"8","3:51.8","30:59","1.00","3:52","171","175","25","5","172","1.50","60","3:40","176","3:51.8","3:52"
"9","3:32.8","34:31","1.00","3:33","171","174","--","13","171","1.65","54","3:30","176","3:32","3:32"
"10","3:28.3","38:00","1.00","3:28","172","175","--","8","177","1.63","54","3:26","183","3:28.3","3:28"
"11","0:03.7","38:04","0.02","3:47","172","172","--","--","177","1.49","0","3:26","181","0:03","3:03"
"Podsumowanie","38:04","38:04","10.02","3:48","165","175","72","80","169","1.55","570","3:26","183","38:01","3:48"
