"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","6:39.4","6:39.4","1.00","6:39","105","113","--","2","155","0.97","45","5:49","162","6:39.4","6:39"
"2","6:10.9","12:50","1.00","6:11","108","112","--","4","156","1.04","40","5:18","162","6:10.9","6:11"
"3","4:08.8","16:59","1.00","4:09","105","114","7","4","167","1.44","23","3:00","188","4:08","4:08"
"4","3:48.0","20:47","1.00","3:48","114","121","4","9","170","1.55","26","2:50","189","3:48.0","3:48"
"5","3:42.9","24:30","1.00","3:43","116","119","10","5","172","1.56","26","2:50","192","3:42.9","3:43"
"6","3:47.3","28:17","1.00","3:47","123","133","6","7","171","1.54","32","2:58","194","3:47","3:47"
"7","3:43.8","32:01","1.00","3:44","124","133","--","--","173","1.55","32","2:46","194","3:42","3:42"
"8","3:43.3","35:44","1.00","3:43","127","136","2","2","175","1.54","33","2:33","208","3:43.3","3:43"
"9","4:03.0","39:47","1.00","4:03","126","139","--","--","170","1.45","33","2:23","208","4:02","4:02"
"10","3:12.6","43:00","0.73","4:24","137","146","5","--","166","1.37","34","3:48","172","3:11","4:21"
"Podsumowanie","43:00","43:00","9.73","4:25","117","146","34","32","166","1.35","324","2:23","208","42:55","4:25"
