"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","3:53.9","3:53.9","1.00","3:54","162","183","--","25","167","1.53","55","3:20","174","3:53","3:53"
"2","4:20.1","8:14.0","1.00","4:20","166","172","17","--","166","1.39","65","3:46","178","4:20","4:20"
"3","4:19.3","12:33","1.00","4:19","165","169","7","14","164","1.41","64","3:23","177","4:19","4:19"
"4","3:59.3","16:33","1.00","3:59","168","173","--","19","165","1.52","60","3:15","177","3:59","3:59"
"5","4:10.4","20:43","1.00","4:10","169","174","24","9","171","1.40","63","3:40","179","4:10","4:10"
"6","4:29.8","25:13","1.00","4:30","162","170","12","9","162","1.37","64","3:26","175","4:29.8","4:30"
"7","4:08.4","29:21","1.00","4:08","159","165","8","25","164","1.47","57","3:21","172","4:08.4","4:08"
"8","3:53.5","33:15","1.00","3:54","171","179","18","--","172","1.49","59","3:39","180","3:53","3:53"
"9","4:09.0","37:24","1.00","4:09","166","173","17","8","164","1.47","60","3:12","175","4:09","4:09"
"10","3:56.2","41:20","1.00","3:56","162","171","--","15","166","1.53","54","3:15","173","3:56.2","3:56"
"11","3:46.0","45:06","0.98","3:51","145","168","24","--","176","1.48","27","3:31","183","3:46","3:51"
"Podsumowanie","45:06","45:06","10.98","4:06","163","183","127","124","167","1.46","628","3:12","183","45:03","4:06"
