"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:53.0","4:53.0","1.00","4:53","116","129","--","2","160","1.28","40","4:21","164","4:53","4:53"
"2","4:40.1","9:33.1","1.00","4:40","126","131","1","--","162","1.32","44","4:30","165","4:40.1","4:40"
"3","4:30.6","14:04","1.00","4:31","128","131","2","--","163","1.36","42","4:21","165","4:30","4:30"
"4","4:31.8","18:36","1.00","4:32","133","144","4","--","163","1.35","46","4:18","167","4:31.8","4:32"
"5","4:28.1","23:04","1.00","4:28","138","142","--","5","163","1.37","47","4:19","167","4:28","4:28"
"6","4:23.0","27:27","1.00","4:23","141","145","3","--","164","1.39","48","4:18","167","4:23.0","4:23"
"7","4:25.0","31:52","1.00","4:25","143","148","3","--","163","1.39","49","4:21","167","4:25","4:25"
"8","4:24.2","36:16","1.00","4:24","144","147","--","3","163","1.40","49","4:16","167","4:24","4:24"
"9","4:22.1","40:38","1.00","4:22","141","146","2","--","162","1.41","44","4:06","169","4:22.1","4:22"
"10","4:22.1","45:00","1.00","4:22","141","146","--","4","162","1.41","42","4:15","167","4:22","4:22"
"11","4:17.3","49:17","1.00","4:17","144","148","--","2","162","1.44","44","4:09","165","4:17","4:17"
"12","4:15.2","53:33","1.00","4:15","144","147","--","--","163","1.44","43","4:09","168","4:15","4:15"
"13","0:32.4","54:05","0.13","4:18","146","147","--","--","163","1.43","5","4:13","167","0:32","4:15"
"Podsumowanie","54:05","54:05","12.13","4:28","136","148","15","16","162","1.38","543","4:06","169","54:03","4:27"
