"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:11.3","4:11.3","1.00","4:11","118","133","--","3","162","1.47","38","1:35","182","4:11","4:11"
"2","4:14.8","8:26.2","1.00","4:15","132","144","--","--","164","1.44","47","4:09","168","4:14.8","4:15"
"3","4:10.8","12:37","1.00","4:11","137","141","3","2","164","1.46","49","3:49","168","4:10.8","4:11"
"4","4:11.4","16:48","1.00","4:11","147","152","5","7","165","1.45","57","3:47","174","4:11.4","4:11"
"5","4:00.9","20:49","1.00","4:01","152","163","--","4","165","1.51","58","3:38","171","4:00.9","4:01"
"6","4:04.5","24:54","1.00","4:04","153","163","7","--","164","1.50","58","3:55","168","4:04","4:04"
"7","3:56.4","28:50","1.00","3:56","150","154","2","--","165","1.54","52","3:45","168","3:56.4","3:56"
"8","4:06.5","32:57","1.00","4:06","155","161","--","--","165","1.47","58","3:53","170","4:06","4:06"
"9","4:10.9","37:07","1.00","4:11","152","158","--","10","164","1.46","55","3:55","168","4:10.9","4:11"
"10","4:05.5","41:13","1.00","4:06","158","169","5","--","166","1.48","60","3:59","171","4:05.5","4:05"
"11","2:44.0","43:57","0.66","4:08","154","159","--","--","166","1.45","37","3:44","174","2:39","4:01"
"Podsumowanie","43:57","43:57","10.66","4:07","146","169","22","25","165","1.47","569","1:35","182","43:51","4:07"
