"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","6:00","6:00","1.65","3:39","127","145","26","21","173","1.58","63","3:22","186","6:00","3:39"
"2","3:00","9:00","0.43","7:01","136","142","--","7","156","0.91","35","3:39","165","2:47","6:31"
"3","6:00","15:00","1.67","3:35","136","144","26","21","175","1.59","69","3:15","187","6:00","3:35"
"4","3:00","18:00","0.40","7:32","139","147","--","3","150","0.88","35","3:41","170","2:59","7:30"
"5","6:00","24:00","1.69","3:33","155","188","24","22","176","1.60","82","3:10","194","6:00","3:33"
"6","3:00","27:00","0.33","9:00","141","172","--","1","149","0.74","32","3:21","168","2:44","8:12"
"7","6:00","33:00","1.71","3:31","146","160","20","18","177","1.61","71","3:14","191","6:00","3:31"
"8","3:00","36:00","0.30","9:51","139","166","--","3","148","0.69","29","3:13","172","3:00","9:51"
"9","6:00","42:00","1.77","3:24","158","183","27","22","177","1.66","81","3:09","186","6:00","3:24"
"10","3:00","45:00","0.28","10:49","143","169","--","4","152","0.61","30","3:10","178","2:41","9:41"
"11","6:00","51:00","1.80","3:20","136","144","26","21","180","1.67","44","3:04","190","6:00","3:20"
"12","0:04.5","51:04","0.02","4:54","143","143","--","--","182","1.12","0","3:07","182","0:04","4:22"
"13","0:00.5","51:05","0.00","3:12","142","142","--","--","182","1.72","--","3:11","182","0:00.5","3:12"
"Podsumowanie","51:05","51:05","12.05","4:14","142","188","149","144","170","1.37","571","3:04","194","50:16","4:10"
