"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:32.1","4:32.1","1.00","4:32","135","146","--","156","1.42","52","4:28","160","4:32.1","4:32"
"2","3:59.6","8:31.7","1.00","4:00","144","151","--","158","1.58","51","3:53","162","3:59","3:59"
"3","4:05.9","12:38","1.00","4:06","147","152","1","159","1.53","54","3:43","166","4:05.9","4:06"
"4","0:00.6","12:38","0.00","2:41","152","152","--","158","2.36","0","4:06","158","0:00.6","2:41"
"Podsumowanie","12:38","12:38","3.00","4:12","142","152","1","158","1.51","157","3:43","166","12:38","4:12"
