"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:57.1","4:57.1","1.00","4:57","129","139","10","6","161","1.26","53","4:33","165","4:57.1","4:57"
"2","4:34.1","9:31.2","1.00","4:34","137","148","13","--","164","1.34","53","4:24","167","4:34","4:34"
"3","4:24.2","13:55","1.00","4:24","145","150","--","4","163","1.40","56","4:02","168","4:24","4:24"
"4","3:52.5","17:48","0.84","4:37","152","163","6","--","163","1.33","53","4:01","167","3:52.5","4:37"
"Podsumowanie","17:48","17:48","3.84","4:38","140","163","30","10","162","1.33","215","4:01","168","17:48","4:38"
