"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","1:56.2","1:56.2","0.42","4:35","131","155","13","11","165","1.32","20","2:45","197","1:55","4:32"
"2","0:42.7","2:38.9","0.20","3:33","131","139","12","--","186","1.51","7","2:58","247","0:42.7","3:33"
"3","1:13.8","3:52.7","0.22","5:35","136","147","--","11","153","1.17","14","3:33","177","1:13","5:31"
"4","0:41.7","4:34.4","0.20","3:26","134","136","--","--","179","1.63","7","3:02","189","0:41.7","3:26"
"5","1:22.6","5:57.0","0.24","5:51","136","137","12","12","159","1.08","15","3:21","181","1:22.6","5:51"
"6","0:41.6","6:38.5","0.20","3:23","136","137","12","--","182","1.62","8","3:07","194","0:41.6","3:23"
"7","1:19.4","7:57.9","0.23","5:39","137","139","--","13","154","1.15","15","3:20","181","1:19","5:38"
"8","0:43.0","8:40.8","0.20","3:34","137","138","11","--","182","1.54","8","3:02","191","0:43.0","3:34"
"9","3:38.8","12:20","1.00","3:39","135","146","--","20","170","1.61","40","2:41","198","3:38.8","3:39"
"10","2:11.8","14:31","0.60","3:38","142","145","5","--","175","1.57","26","2:52","198","2:11.8","3:38"
"Podsumowanie","14:31","14:31","3.52","4:07","136","155","66","68","169","1.43","160","2:41","247","14:29","4:07"
