"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","10:10","10:10","2.51","4:03","141","154","1","161","1.53","130","3:47","166","10:10","4:03"
"Podsumowanie","10:10","10:10","2.51","4:03","141","154","1","161","1.53","130","3:47","166","10:10","4:03"
