"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","0:38.6","0:38.6","0.20","3:10","113","138","9","--","178","1.78","4","2:56","190","0:38.6","3:10"
"2","1:33.8","2:12.4","0.25","6:19","146","153","--","9","155","1.02","21","2:57","184","1:28","5:56"
"3","0:39.4","2:51.7","0.20","3:13","152","157","9","--","176","1.77","9","2:55","187","0:39.4","3:13"
"4","1:27.8","4:19.5","0.22","6:43","150","153","--","9","149","1.00","20","4:05","182","1:27","6:40"
"5","0:38.0","4:57.5","0.20","3:12","147","149","10","--","187","1.67","8","2:53","194","0:38.0","3:12"
"6","1:39.8","6:37.4","0.25","6:43","149","152","--","9","152","0.98","23","2:53","186","1:39.8","6:43"
"7","0:37.9","7:15.3","0.21","3:05","149","150","10","--","181","1.80","8","2:50","190","0:37.9","3:05"
"8","1:39.0","8:54.2","0.26","6:27","153","159","--","10","145","1.07","23","2:50","186","1:39.0","6:27"
"9","0:38.6","9:32.8","0.21","3:06","149","153","--","--","190","1.70","9","2:51","198","0:38.6","3:06"
"10","2:01.2","11:34","0.24","8:16","155","164","10","9","144","0.84","29","2:52","184","1:43","7:02"
"11","0:36.3","12:10","0.21","2:55","147","156","--","--","187","1.83","7","2:46","197","0:34","2:44"
"12","0:07.8","12:18","0.03","4:43","156","159","9","--","184","1.15","2","2:46","190","0:07.8","4:43"
"Podsumowanie","12:18","12:18","2.47","4:59","148","164","56","46","160","1.22","163","2:46","198","11:51","4:48"
