"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","5:12.5","5:12.5","1.00","5:12","146","155","--","159","1.21","68","4:32","166","5:12","5:12"
"2","4:55.3","10:08","1.00","4:55","155","171","--","160","1.27","71","4:40","165","4:55.3","4:55"
"3","4:40.9","14:49","1.00","4:41","159","168","--","159","1.34","69","4:07","169","4:40.9","4:41"
"4","1:23.6","16:12","0.31","4:32","161","164","2","160","1.37","20","4:34","165","1:23","4:30"
"Podsumowanie","16:12","16:12","3.31","4:54","154","171","2","160","1.28","228","4:07","169","16:11","4:54"
