"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:25.1","4:25.1","1.00","4:25","126","138","--","4","159","1.42","43","3:58","171","4:24","4:24"
"2","4:26.4","8:51.5","1.00","4:26","133","136","--","--","161","1.40","46","4:02","163","4:26","4:26"
"3","4:14.5","13:06","1.00","4:15","139","146","6","6","163","1.45","48","4:09","165","4:14.5","4:15"
"4","4:16.4","17:22","1.00","4:16","143","147","13","10","163","1.43","50","4:09","170","4:16","4:16"
"5","4:17.7","21:40","1.00","4:18","141","148","15","--","165","1.41","47","4:05","172","4:17","4:17"
"6","3:59.6","25:40","1.00","4:00","153","165","--","8","165","1.52","52","2:58","198","3:59.6","4:00"
"7","4:06.2","29:46","1.00","4:06","151","158","--","5","165","1.47","51","3:08","184","4:06","4:06"
"8","4:07.3","33:53","1.00","4:07","141","147","--","4","163","1.49","41","3:57","165","4:07","4:07"
"9","4:02.8","37:56","1.00","4:03","141","148","--","11","164","1.51","38","3:12","178","4:02.8","4:03"
"10","4:18.1","42:14","1.00","4:18","134","144","9","8","163","1.43","33","4:04","229","4:18.1","4:18"
"11","4:18.4","46:32","1.00","4:18","133","141","6","--","162","1.44","29","4:12","165","4:18","4:18"
"12","4:19.7","50:52","1.00","4:20","137","142","1","--","161","1.44","34","4:01","176","4:19.7","4:20"
"13","2:14.1","53:06","0.52","4:18","137","144","4","--","163","1.43","17","4:05","168","2:13","4:15"
"Podsumowanie","53:06","53:06","12.52","4:14","139","165","54","56","163","1.45","529","2:58","229","53:02","4:14"
