"Okrążenia","Czas","Łączny czas","Dystans","Średnie tempo","Średnie tętno","Maksymalne tętno","Wzrost wysokości","Spadek wysokości","Średni rytm biegu","Średnia długość kroku","Kalorie","Najlepsze tempo","Maksymalny rytm biegu","Czas ruchu","Średnie tempo ruchu"
"1","4:14.8","4:14.8","1.00","4:15","142","161","--","13","159","1.48","52","3:50","165","4:14.8","4:15"
"2","4:11.6","8:26.4","1.00","4:12","148","153","3","--","163","1.47","55","4:01","168","4:11.6","4:12"
"3","4:18.5","12:45","1.00","4:18","151","155","25","13","165","1.41","58","4:09","168","4:18","4:18"
"4","4:16.8","17:02","1.00","4:17","153","163","--","25","161","1.45","58","4:02","167","4:16.8","4:17"
"5","4:14.6","21:16","1.00","4:15","154","157","--","30","159","1.49","58","4:00","163","4:14.6","4:15"
"6","4:12.4","25:29","1.00","4:12","154","160","--","19","161","1.48","56","3:59","190","4:12","4:12"
"7","4:31.9","30:01","1.00","4:32","157","162","9","--","167","1.32","60","4:16","174","4:31.9","4:32"
"8","4:34.9","34:36","1.00","4:35","160","165","37","--","169","1.29","64","4:22","172","4:34.9","4:35"
"9","4:24.6","39:00","1.00","4:25","153","160","24","--","166","1.37","54","4:12","172","4:24.6","4:25"
"10","4:19.1","43:19","1.00","4:19","160","163","--","19","164","1.41","59","4:15","168","4:19","4:19"
"11","4:18.6","47:38","1.00","4:19","160","164","27","12","165","1.41","59","4:16","171","4:18","4:18"
"12","3:50.2","51:28","0.88","4:23","164","169","9","3","166","1.38","55","4:11","168","3:50.2","4:23"
"Podsumowanie","51:28","51:28","11.88","4:20","155","169","133","136","164","1.41","688","3:50","190","51:26","4:20"
